"ensembl_gene_id","gene_name_WU","Gene.start..bp.","Gene.end..bp.","Length"
"ENSG00000004864","SLC25A13",96120220,96322147,201927
"ENSG00000004866","ST7",116953238,117230103,276865
"ENSG00000004897","CDC27",47117703,47189422,71719
"ENSG00000004939","SLC4A1",44248390,44268141,19751
"ENSG00000004948","CALCR",93424487,93574730,150243
"ENSG00000004961","HCCS",11111301,11123086,11785
"ENSG00000004975","DVL2",7225342,7234517,9175
"ENSG00000005001","PRSS22",2852730,2858170,5440
"ENSG00000005007","UPF1",18831938,18868236,36298
"ENSG00000005020","SKAP2",26667068,26995239,328171
"ENSG00000005022","SLC25A5",119468422,119471396,2974
"ENSG00000005059","CCDC109B",109560209,109688719,128510
"ENSG00000005073","HOXA11",27181510,27185223,3713
"ENSG00000005075","POLR2J",102473118,102478907,5789
"ENSG00000005100","DHX33",5440917,5468982,28065
"ENSG00000005102","MEOX1",43640389,43661922,21533
"ENSG00000005108","THSD7A",11370365,11832198,461833
"ENSG00000005156","LIG3",34980494,35009743,29249
"ENSG00000005175","RPAP3",47661249,47706030,44781
"ENSG00000005187","ACSM3",20610243,20797581,187338
"ENSG00000005194","CIAPIN1",57428187,57447420,19233
"ENSG00000005206","SPPL2B",2328615,2355095,26480
"ENSG00000005238","FAM214B",35104112,35116341,12229
"ENSG00000005249","PRKAR2B",107044705,107161811,117106
"ENSG00000005302","MSL3",11758159,11775772,17613
"ENSG00000005339","CREBBP",3725054,3880726,155672
"ENSG00000005379","BZRAP1",58301228,58328795,27567
"ENSG00000005381","MPO",58269856,58280935,11079
"ENSG00000005421","PON1",95297676,95324707,27031
"ENSG00000005436","GCFC2",75652000,75710989,58989
"ENSG00000005448","WDR54",74421678,74425755,4077
"ENSG00000005469","CROT",87345681,87399795,54114
"ENSG00000005471","ABCB4",87401697,87480435,78738
"ENSG00000005483","MLL5",105014190,105115019,100829
"ENSG00000005486","RHBDD2",75842602,75888926,46324
"ENSG00000005513","SOX8",981770,986979,5209
"ENSG00000005700","IBTK",82169986,82247754,77768
"ENSG00000005801","ZNF195",3339261,3379222,39961
"ENSG00000005810","MYCBP2",77044657,77327094,282437
"ENSG00000005812","FBXL3",76992598,77027195,34597
"ENSG00000005844","ITGAL",30472658,30523185,50527
"ENSG00000005882","PDK2",50094737,50112152,17415
"ENSG00000005884","ITGA3",50055968,50090481,34513
"ENSG00000005889","ZFX",24149173,24216255,67082
"ENSG00000005893","LAMP2",120427827,120469365,41538
"ENSG00000005961","ITGA2B",44372180,44389505,17325
"ENSG00000005981","ASB4",95478444,95540233,61789
"ENSG00000006007","GDE1",19501693,19522123,20430
"ENSG00000006016","CRLF1",18572220,18607741,35521
"ENSG00000006025","OSBPL7",47807372,47821834,14462
"ENSG00000006042","TMEM98",32927910,32945106,17196
"ENSG00000006059","KRT33A",41346092,41350812,4720
"ENSG00000006062","MAP3K14",45263119,45317029,53910
"ENSG00000006071","ABCC8",17392498,17476879,84381
"ENSG00000006116","CACNG3",24255553,24362801,107248
"ENSG00000006118","TMEM132A",60924463,60937159,12696
"ENSG00000006125","AP2B1",35578046,35726413,148367
"ENSG00000006128","TAC1",97732084,97740472,8388
"ENSG00000006194","ZNF263",3263800,3301401,37601
"ENSG00000006210","CX3CL1",57372477,57385044,12567
"ENSG00000006282","SPATA20",50543058,50555852,12794
"ENSG00000006283","CACNA1G",50560715,50627474,66759
"ENSG00000006377","DLX6",97005553,97011040,5487
"ENSG00000006432","MAP3K9",70722526,70809534,87008
"ENSG00000006451","RALA",39623565,39708120,84555
"ENSG00000006453","BAIAP2L1",98291650,98401090,109440
"ENSG00000006459","JHDM1D",140084746,140176983,92237
"ENSG00000006468","ETV1",13891229,13991425,100196
"ENSG00000006530","AGK",141551278,141655244,103966
"ENSG00000006534","ALDH3B1",68008578,68029282,20704
"ENSG00000006555","TTC22",54779712,54801323,21611
"ENSG00000006576","PHTF2",77798792,77957503,158711
"ENSG00000006606","CCL26",75769533,75789896,20363
"ENSG00000006607","FARP2",241356285,241494841,138556
"ENSG00000006611","USH1C",17493895,17544416,50521
"ENSG00000006625","GGCT",30496621,30504841,8220
"ENSG00000006634","DBF4",87876216,87909553,33337
"ENSG00000006652","IFRD1",112422968,112481017,58049
"ENSG00000006659","LGALS14",39704481,39709444,4963
"ENSG00000006695","COX10",14069490,14231736,162246
"ENSG00000006704","GTF2IRD1",74453790,74602604,148814
"ENSG00000006712","PAF1",39385629,39391154,5525
"ENSG00000006715","VPS41",38722974,38932394,209420
"ENSG00000006740","ARHGAP44",12789498,12991643,202145
"ENSG00000006744","ELAC2",12991612,13018065,26453
"ENSG00000006747","SCIN",12570577,12660182,89605
"ENSG00000006756","ARSD",2903972,2929349,25377
"ENSG00000006757","PNPLA4",7898247,7927739,29492
"ENSG00000006788","MYH13",10300865,10373130,72265
"ENSG00000006831","ADIPOR2",1688574,1788674,100100
"ENSG00000006837","CDKL3",134286350,134371047,84697
"ENSG00000007001","UPP2",157876702,158136154,259452
"ENSG00000007038","PRSS21",2817180,2826304,9124
"ENSG00000007047","MARK4",45079288,45305284,225996
"ENSG00000007062","PROM1",15963076,16084378,121302
"ENSG00000007129","CEACAM21",41549518,41586844,37326
"ENSG00000007168","PAFAH1B1",2593210,2685615,92405
"ENSG00000007171","NOS2",27756766,27800499,43733
"ENSG00000007174","DNAH9",11598470,11969748,371278
"ENSG00000007202","KIAA0100",28614446,28645454,31008
"ENSG00000007216","SLC13A2",28473293,28497781,24488
"ENSG00000007237","GAS7",9910609,10198551,287942
"ENSG00000007255","TRAPPC6A",45162928,45178237,15309
"ENSG00000007264","MATK",3777970,3802129,24159
"ENSG00000007306","CEACAM7",41673303,41706976,33673
"ENSG00000007312","CD79B",63928740,63932354,3614
"ENSG00000007314","SCN4A",63938554,63972918,34364
"ENSG00000007341","ST7L",112523514,112620825,97311
"ENSG00000007350","TKTL1",154295795,154330350,34555
"ENSG00000007372","PAX6",31784779,31817961,33182
"ENSG00000007376","RPUSD1",784974,788397,3423
"ENSG00000007384","RHBDF1",58059,76355,18296
"ENSG00000007392","LUC7L",188969,229463,40494
"ENSG00000007402","CACNA2D2",50362799,50504244,141445
"ENSG00000007516","BAIAP3",1333601,1349441,15840
"ENSG00000007520","TSR3",1349240,1351878,2638
"ENSG00000007541","PIGQ",566995,584136,17141
"ENSG00000007545","CRAMP1L",1612325,1677908,65583
"ENSG00000007866","TEAD3",35473597,35497079,23482
"ENSG00000007908","SELE",169722640,169764705,42065
"ENSG00000007923","DNAJC11",6634168,6701924,67756
"ENSG00000007933","FMO3",171090901,171117819,26918
"ENSG00000007944","MYLIP",16129086,16148248,19162
"ENSG00000007952","NOX1",100843324,100874359,31035
"ENSG00000007968","E2F2",23506438,23531233,24795
"ENSG00000008056","SYN1",47571901,47619857,47956
"ENSG00000008083","JARID2",15246069,15522042,275973
"ENSG00000008086","CDKL5",18425583,18653629,228046
"ENSG00000008118","CAMK1G",209583714,209613939,30225
"ENSG00000008128","CDK11A",1702379,1724357,21978
"ENSG00000008130","NADK",1751232,1780457,29225
"ENSG00000008196","TFAP2B",50818723,50847619,28896
"ENSG00000008197","TFAP2D",50713828,50772988,59160
"ENSG00000008226","DLEC1",38039205,38124025,84820
"ENSG00000008256","CYTH3",6161776,6272644,110868
"ENSG00000008277","ADAM22",87934143,88202889,268746
"ENSG00000008282","SYPL1",106090503,106112576,22073
"ENSG00000008283","CYB561",63432304,63446354,14050
"ENSG00000008294","SPAG9",50962174,51120868,158694
"ENSG00000008300","CELSR3",48636463,48662886,26423
"ENSG00000008311","AASS",122073549,122144255,70706
"ENSG00000008323","PLEKHG6",6310436,6328506,18070
"ENSG00000008382","MPND",4343527,4360086,16559
"ENSG00000008405","CRY1",106991364,107093549,102185
"ENSG00000008441","NFIX",12995608,13098796,103188
"ENSG00000008513","ST3GAL1",133454848,133571940,117092
"ENSG00000008516","MMP25",3046561,3060726,14165
"ENSG00000008517","IL32",3065297,3082192,16895
"ENSG00000008710","PKD1",2088710,2135898,47188
"ENSG00000008735","MAPK8IP2",50600793,50613981,13188
"ENSG00000008838","MED24",40019097,40061215,42118
"ENSG00000008853","RHOBTB2",22987417,23020199,32782
"ENSG00000008869","HEATR5B",36968383,37084372,115989
"ENSG00000008952","SEC62",169966635,169998373,31738
"ENSG00000008988","RPS20",56067295,56074581,7286
"ENSG00000009307","CSDE1",114716913,114758676,41763
"ENSG00000009335","UBE3C",157138916,157269370,130454
"ENSG00000009413","REV3L",111299028,111483715,184687
"ENSG00000009694","ODZ1",124375903,124963817,587914
"ENSG00000009709","PAX7",18630846,18748866,118020
"ENSG00000009724","MASP2",11026523,11047233,20710
"ENSG00000009765","IYD",150368892,150405969,37077
"ENSG00000009780","FAM76A",27725979,27763122,37143
"ENSG00000009790","TRAF3IP3",209756032,209782320,26288
"ENSG00000009830","POMT2",77274956,77320884,45928
"ENSG00000009844","VTA1",142147162,142224685,77523
"ENSG00000009950","MLXIPL",73593194,73624543,31349
"ENSG00000009954","BAZ1B",73440406,73522293,81887
"ENSG00000010017","RANBP9",13621498,13711835,90337
"ENSG00000010030","ETV7",36354091,36387800,33709
"ENSG00000010072","SPRTN",231337104,231355023,17919
"ENSG00000010165","METTL13",171781660,171814023,32363
"ENSG00000010219","DYRK4",4562204,4615302,53098
"ENSG00000010244","ZNF207",32350117,32381886,31769
"ENSG00000010256","UQCRC1",48599002,48610976,11974
"ENSG00000010270","STARD3NL",38178222,38230671,52449
"ENSG00000010278","CD9",6199715,6238271,38556
"ENSG00000010282","HHATL",42692663,42702827,10164
"ENSG00000010292","NCAPD2",6493356,6531955,38599
"ENSG00000010295","IFFO1",6538375,6556083,17708
"ENSG00000010310","GIPR",45668221,45683722,15501
"ENSG00000010318","PHF7",52410660,52423641,12981
"ENSG00000010319","SEMA3G",52433053,52445085,12032
"ENSG00000010322","NISCH",52455118,52493068,37950
"ENSG00000010327","STAB1",52495338,52524495,29157
"ENSG00000010361","FUZ",49806869,49817376,10507
"ENSG00000010379","SLC6A13",220621,262873,42252
"ENSG00000010404","IDS",149476988,149521096,44108
"ENSG00000010438","PRSS3",33750466,33799231,48765
"ENSG00000010539","ZNF200",3222325,3236221,13896
"ENSG00000010610","CD4",6786858,6820799,33941
"ENSG00000010626","LRRC23",6873569,6914241,40672
"ENSG00000010671","BTK",101349447,101390796,41349
"ENSG00000010704","HFE",26087281,26098343,11062
"ENSG00000010803","SCMH1",41027200,41242154,214954
"ENSG00000010810","FYN",111660332,111873452,213120
"ENSG00000010818","HIVEP2",142751469,142956698,205229
"ENSG00000010932","FMO1",171248471,171285978,37507
"ENSG00000011007","TCEB3",23743155,23762059,18904
"ENSG00000011009","LYPLA2",23791145,23795539,4394
"ENSG00000011021","CLCN6",11806096,11848079,41983
"ENSG00000011028","MRC2",62627670,62693597,65927
"ENSG00000011083","SLC6A7",150190062,150222788,32726
"ENSG00000011105","TSPAN9",3077355,3286564,209209
"ENSG00000011114","BTBD7",93237550,93333092,95542
"ENSG00000011132","APBA3",3750772,3761692,10920
"ENSG00000011143","MKS1",58205437,58219605,14168
"ENSG00000011198","ABHD5",43690108,43734371,44263
"ENSG00000011201","KAL1",8528874,8732137,203263
"ENSG00000011243","AKAP8L",15380050,15419141,39091
"ENSG00000011258","MBTD1",51177425,51260163,82738
"ENSG00000011260","UTP18",51260546,51297936,37390
"ENSG00000011295","TTC19",15999784,16045015,45231
"ENSG00000011304","PTBP1",797075,812327,15252
"ENSG00000011332","DPF1",38211006,38229714,18708
"ENSG00000011347","SYT7",61515313,61581148,65835
"ENSG00000011376","LARS2",45388561,45554726,166165
"ENSG00000011405","PIK3C2A",17077730,17207983,130253
"ENSG00000011422","PLAUR",43646095,43670547,24452
"ENSG00000011426","ANLN",36389821,36453791,63970
"ENSG00000011451","WIZ",15419980,15449951,29971
"ENSG00000011454","RABGAP1",122940833,123104866,164033
"ENSG00000011465","DCN",91140484,91182824,42340
"ENSG00000011478","QPCTL",45692666,45703989,11323
"ENSG00000011485","PPP5C",46346994,46392981,45987
"ENSG00000011523","CEP68",65056366,65087004,30638
"ENSG00000011566","MAP4K3",39249266,39437301,188035
"ENSG00000011590","ZBTB32",35704558,35717038,12480
"ENSG00000011677","GABRA3",152166234,152451315,285081
"ENSG00000012048","BRCA1",43044295,43170245,125950
"ENSG00000012061","ERCC1",45407333,45478828,71495
"ENSG00000012124","CD22",35319261,35347361,28100
"ENSG00000012171","SEMA3B",50267558,50277546,9988
"ENSG00000012174","MBTPS2",21839617,21885423,45806
"ENSG00000012211","PRICKLE3",49174802,49186528,11726
"ENSG00000012223","LTF",46435645,46485234,49589
"ENSG00000012232","EXTL3",28600469,28755599,155130
"ENSG00000012504","NR1H4",100473708,100564414,90706
"ENSG00000012660","ELOVL5",53267398,53349179,81781
"ENSG00000012779","ALOX5",45374176,45446119,71943
"ENSG00000012822","CALCOCO1",53708517,53727745,19228
"ENSG00000012963","UBR7",93207241,93229215,21974
"ENSG00000012983","MAP4K5",50418501,50561126,142625
"ENSG00000013016","EHD3",31234152,31269451,35299
"ENSG00000013275","PSMC4",39971005,39981441,10436
"ENSG00000013288","MAN2B2",6575175,6623362,48187
"ENSG00000013293","SLC7A14",170459548,170586075,126527
"ENSG00000013297","CLDN11",170418865,170454733,35868
"ENSG00000013306","SLC25A39",44319625,44324870,5245
"ENSG00000013364","MVP",29820394,29848039,27645
"ENSG00000013374","NUB1",151341699,151378449,36750
"ENSG00000013375","PGM3",83161150,83193936,32786
"ENSG00000013392","RWDD2A",83193357,83198935,5578
"ENSG00000013441","CLK1",200853009,200864744,11735
"ENSG00000013503","POLR3B",106357748,106510198,152450
"ENSG00000013523","ANGEL1",76786178,76826246,40068
"ENSG00000013561","RNF14",141958328,141990292,31964
"ENSG00000013563","DNASE1L1",154401236,154412112,10876
"ENSG00000013573","DDX11",31073860,31104799,30939
"ENSG00000013588","GPRC5A",12890782,12917937,27155
"ENSG00000013619","MAMLD1",150361422,150514178,152756
"ENSG00000013725","CD6",60971680,61020377,48697
"ENSG00000013810","TACC3",1712891,1745176,32285
"ENSG00000014123","UFL1",96521595,96555276,33681
"ENSG00000014138","POLA2",65261920,65305589,43669
"ENSG00000014164","ZC3H3",143437659,143541447,103788
"ENSG00000014216","CAPN1",65180566,65212006,31440
"ENSG00000014257","ACPP",132317369,132368298,50929
"ENSG00000014641","MDH1",63588609,63607197,18588
"ENSG00000014824","SLC30A9",41990502,42090461,99959
"ENSG00000014914","MTMR11",149928651,149936879,8228
"ENSG00000014919","COX15",99711844,99732100,20256
"ENSG00000015133","CCDC88C",91271323,91417844,146521
"ENSG00000015153","YAF2",42157104,42238349,81245
"ENSG00000015171","ZMYND11",134465,254637,120172
"ENSG00000015285","WAS",48676596,48691427,14831
"ENSG00000015413","DPEP1",89613308,89638456,25148
"ENSG00000015475","BID",17734138,17774770,40632
"ENSG00000015479","MATR3",139293648,139331677,38029
"ENSG00000015520","NPC1L1",44512535,44541315,28780
"ENSG00000015532","XYLT2",50346092,50363138,17046
"ENSG00000015592","STMN4",27235323,27258420,23097
"ENSG00000015676","NUDCD3",44379119,44490658,111539
"ENSG00000016082","ISL1",51383448,51394730,11282
"ENSG00000016402","IL20RA",136999971,137045180,45209
"ENSG00000016490","CLCA1",86468368,86500289,31921
"ENSG00000016602","CLCA4",86547078,86580754,33676
"ENSG00000016864","GLT8D1",52694488,52706032,11544
"ENSG00000017260","ATP2C1",130850595,131016712,166117
"ENSG00000017483","SLC38A5",48458537,48470260,11723
"ENSG00000017797","RALBP1",9475009,9538114,63105
"ENSG00000018189","RUFY3",70704204,70808619,104415
"ENSG00000018236","CNTN1",40692439,41072415,379976
"ENSG00000018280","SLC11A1",218382029,218396894,14865
"ENSG00000018408","WWTR1",149517235,149736714,219479
"ENSG00000018510","AGPS",177392768,177559299,166531
"ENSG00000018610","CXorf56",119538149,119565408,27259
"ENSG00000018625","ATP1A2",160115759,160143591,27832
"ENSG00000018699","TTC27",32628032,32821051,193019
"ENSG00000018869","ZNF582",56375846,56393545,17699
"ENSG00000019144","PHLDB1",118606440,118658031,51591
"ENSG00000019169","MARCO",118942166,118994660,52494
"ENSG00000019186","CYP24A1",54153446,54173986,20540
"ENSG00000019485","PRDM11",45095806,45235110,139304
"ENSG00000019505","SYT13",45240302,45286341,46039
"ENSG00000019582","CD74",150400041,150412929,12888
"ENSG00000019991","HGF",81699010,81770438,71428
"ENSG00000019995","ZRANB1",124942123,124988189,46066
"ENSG00000020129","NCDN",35557473,35567274,9801
"ENSG00000020181","GPR124",37784191,37844896,60705
"ENSG00000020256","ZFP64",52051663,52204308,152645
"ENSG00000020426","MNAT1",60734742,60969965,235223
"ENSG00000020577","SAMD4A",54567097,54793315,226218
"ENSG00000020633","RUNX3",24899511,24965121,65610
"ENSG00000020922","MRE11A",94415578,94493908,78330
"ENSG00000021300","PLEKHB1",73646178,73662819,16641
"ENSG00000021355","SERPINB1",2832332,2841959,9627
"ENSG00000021461","CYP3A43",99828013,99866102,38089
"ENSG00000021488","SLC7A9",32830509,32869767,39258
"ENSG00000021574","SPAST",32063547,32157637,94090
"ENSG00000021645","NRXN3",78170373,79868290,1697917
"ENSG00000021762","OSBPL5",3087107,3166739,79632
"ENSG00000021776","AQR",34851782,34969742,117960
"ENSG00000021826","CPS1",210477682,210679107,201425
"ENSG00000021852","C8B",56929207,56966140,36933
"ENSG00000022267","FHL1",136146702,136211359,64657
"ENSG00000022277","C20orf43",56468585,56519449,50864
"ENSG00000022355","GABRA1",161847063,161899981,52918
"ENSG00000022556","NLRP2",54953130,55001142,48012
"ENSG00000022567","SLC45A4",141207166,141308305,101139
"ENSG00000022840","RNF10",120533480,120577588,44108
"ENSG00000022976","ZNF839",102317377,102342702,25325
"ENSG00000023041","ZDHHC6",112424428,112446917,22489
"ENSG00000023171","GRAMD1B",123358428,123627774,269346
"ENSG00000023191","RNH1",494512,507300,12788
"ENSG00000023228","NDUFS1",206114817,206159509,44692
"ENSG00000023287","RB1CC1",52622458,52745843,123385
"ENSG00000023330","ALAS1",52198086,52214327,16241
"ENSG00000023445","BIRC3",102317450,102339403,21953
"ENSG00000023516","AKAP11",42272152,42323261,51109
"ENSG00000023572","GLRX2",193090866,193106114,15248
"ENSG00000023608","SNAPC1",61762420,61796428,34008
"ENSG00000023697","DERA",15911302,16037381,126079
"ENSG00000023734","STRAP",15882387,15903478,21091
"ENSG00000023839","ABCC2",99782640,99852594,69954
"ENSG00000023892","DEF6",35297818,35321771,23953
"ENSG00000023902","PLEKHO1",150149183,150164720,15537
"ENSG00000023909","GCLM",93885199,93909456,24257
"ENSG00000024048","UBR2",42564062,42693504,129442
"ENSG00000024422","EHD2",47713422,47743134,29712
"ENSG00000024526","DEPDC1",68474152,68497221,23069
"ENSG00000024862","CCDC28A",138773509,138793319,19810
"ENSG00000025039","RRAGD",89364636,89412270,47634
"ENSG00000025293","PHF20",35771974,35950370,178396
"ENSG00000025423","HSD17B6",56752161,56787790,35629
"ENSG00000025434","NR1H3",47248300,47269033,20733
"ENSG00000025708","TYMP",50525752,50530032,4280
"ENSG00000025770","NCAPH2",50508224,50524780,16556
"ENSG00000025772","TOMM34",44942130,44960397,18267
"ENSG00000025796","SEC63",107867756,107958208,90452
"ENSG00000025800","KPNA6",32108056,32176563,68507
"ENSG00000026025","VIM",17228241,17237593,9352
"ENSG00000026103","FAS",88990531,89017059,26528
"ENSG00000026297","RNASET2",166929504,166957191,27687
"ENSG00000026508","CD44",35138870,35232402,93532
"ENSG00000026559","KCNG1",51003656,51023107,19451
"ENSG00000026652","AGPAT4",161129967,161274061,144094
"ENSG00000026751","SLAMF7",160739057,160754821,15764
"ENSG00000026950","BTN3A1",26402237,26415208,12971
"ENSG00000027001","MIPEP",23730189,23889400,159211
"ENSG00000027075","PRKCH",61187559,61550976,363417
"ENSG00000027644","INSRR",156840063,156859117,19054
"ENSG00000027697","IFNGR1",137197484,137219449,21965
"ENSG00000027847","B4GALT7",177600132,177610330,10198
"ENSG00000027869","SH2D2A",156806243,156816862,10619
"ENSG00000028116","VRK2",57907629,58159920,252291
"ENSG00000028137","TNFRSF1B",12166991,12209228,42237
"ENSG00000028203","VEZT",95217746,95302799,85053
"ENSG00000028277","POU2F2",42086110,42196585,110475
"ENSG00000028310","BRD9",850291,892801,42510
"ENSG00000028528","SNX1",64094123,64146090,51967
"ENSG00000029153","ARNTL2",27332854,27425289,92435
"ENSG00000029363","BCLAF1",136256627,136289851,33224
"ENSG00000029364","SLC39A9",69398015,69462390,64375
"ENSG00000029534","ANK1",41653220,41896762,243542
"ENSG00000029559","IBSP",87799554,87812435,12881
"ENSG00000029639","TFB1M",155256134,155314493,58359
"ENSG00000029725","RABEP1",5282265,5386340,104075
"ENSG00000029993","HMGB3",150980509,150990771,10262
"ENSG00000030066","NUP160",47778087,47848555,70468
"ENSG00000030110","BAK1",33572547,33580293,7746
"ENSG00000030304","MUSK",110668771,110801620,132849
"ENSG00000030419","IKZF2",212999691,213152427,152736
"ENSG00000030582","GRN",44345246,44353106,7860
"ENSG00000031003","FAM13B",137937960,138051961,114001
"ENSG00000031081","ARHGAP31",119294373,119420714,126341
"ENSG00000031691","CENPQ",49463370,49493107,29737
"ENSG00000031698","SARS",109213918,109238182,24264
"ENSG00000031823","RANBP3",5916139,5978142,62003
"ENSG00000032219","ARID4A",58298385,58373887,75502
"ENSG00000032389","TSSC1",3188925,3377882,188957
"ENSG00000032444","PNPLA6",7534004,7561764,27760
"ENSG00000032742","IFT88",20567069,20691437,124368
"ENSG00000033011","ALG1",5033923,5087379,53456
"ENSG00000033030","ZCCHC8",122471600,122501073,29473
"ENSG00000033050","ABCF2",151211484,151227205,15721
"ENSG00000033100","CHPF2",151232489,151238827,6338
"ENSG00000033122","LRRC7",69568261,70151945,583684
"ENSG00000033170","FUT8",65410592,65744121,333529
"ENSG00000033178","UBA6",67612652,67701155,88503
"ENSG00000033327","GAB2",78215293,78418348,203055
"ENSG00000033627","ATP6V0A1",42458844,42522611,63767
"ENSG00000033800","PIAS1",68054179,68198603,144424
"ENSG00000033867","SLC4A7",27372721,27484420,111699
"ENSG00000034053","APBA2",28884483,29118315,233832
"ENSG00000034152","MAP2K3",21284672,21315240,30568
"ENSG00000034239","EFCAB1",48710789,48735311,24522
"ENSG00000034533","ASTE1",131013875,131027649,13774
"ENSG00000034677","RNF19A",100257060,100336218,79158
"ENSG00000034693","PEX3",143450805,143490616,39811
"ENSG00000034971","MYOC",171635417,171652688,17271
"ENSG00000035115","SH3YL1",217730,266398,48668
"ENSG00000035141","FAM136A",70295975,70302090,6115
"ENSG00000035403","VCL",73995193,74121363,126170
"ENSG00000035499","DEPDC1B",60596912,60700190,103278
"ENSG00000035664","DAPK2",63907036,64072033,164997
"ENSG00000035681","NSMAF",58583508,58659853,76345
"ENSG00000035687","ADSS",244408494,244451909,43415
"ENSG00000035720","STAP1",67558727,67607337,48610
"ENSG00000035928","RFC1",39287456,39366375,78919
"ENSG00000036054","TBC1D23",100260992,100325251,64259
"ENSG00000036257","CUL3",224470150,224585397,115247
"ENSG00000036448","MYOM2",2045046,2165552,120506
"ENSG00000036473","OTC",38352586,38421446,68860
"ENSG00000036530","CYP46A1",99684304,99727301,42997
"ENSG00000036549","ZZZ3",77562416,77683419,121003
"ENSG00000036565","SLC18A1",20144855,20183206,38351
"ENSG00000036672","USP2",119355215,119381711,26496
"ENSG00000036828","CASR",122183683,122291629,107946
"ENSG00000037042","TUBG2",42659284,42667006,7722
"ENSG00000037280","FLT4",180601506,180649624,48118
"ENSG00000037474","NSUN2",6599239,6633291,34052
"ENSG00000037637","FBXO42",16246840,16352480,105640
"ENSG00000037749","MFAP3",154038906,154220478,181572
"ENSG00000037757","MRI1",13764522,13774282,9760
"ENSG00000037897","METTL1",57768471,57772119,3648
"ENSG00000037965","HOXC8",54008985,54012769,3784
"ENSG00000038210","PI4K2B",25160663,25279204,118541
"ENSG00000038219","BOD1L1",13568738,13627725,58987
"ENSG00000038274","MAT2B",163503114,163519354,16240
"ENSG00000038295","TLL1",165873237,166104457,231220
"ENSG00000038358","EDC4",67873052,67884499,11447
"ENSG00000038382","TRIO",14143342,14532128,388786
"ENSG00000038427","VCAN",83471618,83582303,110685
"ENSG00000038532","CLEC16A",10944564,11182186,237622
"ENSG00000038945","MSR1",16107878,16567490,459612
"ENSG00000039068","CDH1",68737292,68835541,98249
"ENSG00000039123","SKIV2L2",55307989,55425579,117590
"ENSG00000039139","DNAH5",13690331,13944543,254212
"ENSG00000039319","ZFYVE16",80408013,80483379,75366
