Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
positive regulation of transcription, DNA-templated (GO:0045893)	21/1121	0.0000008068911121434510694866069045738665721501092775724828243255615234375	0.000111497680950731423436990408237790006751311011612415313720703125	0.00005657627398001282572302661488805597400642000138759613037109375	0.004209809021990766099430292257466135197319090366363525390625	-1.6998320693594717	23.84877500201461	ACVR1;FOXF2;NFYA;CEBPG;LEF1;RHOG;IGF1;RBPJ;RNF4;CDK9;PLSCR1;UBB;DVL2;E2F2;PIN1;TNFSF11;IKBKG;VHL;WNT1;HOXB7;FOXA2
Fc-gamma receptor signaling pathway (GO:0038094)	7/135	0.000010347447505694910995410924769988270099929650314152240753173828125	0.000701051775778094277656593558134545673965476453304290771484375	0.000074982785070590060962948675271633192096487618982791900634765625	0.0048074616181290781569135361905864556320011615753173828125	-2.0428580302725354	23.449498874523098	CDC42;FCER1G;ARPC3;FYN;GRB2;CD247;RAC1
positive regulation of tumor necrosis factor-mediated signaling pathway (GO:1903265)	2/8	0.000836295118633322378566552490752883386448957026004791259765625	0.0100886395263702390023841104493840248323976993560791015625	0.002238904855496074049192589683343612705357372760772705078125	0.0306588773004867788662952676759232417680323123931884765625	-3.3001768100628786	23.38679865133734	HSPA1B;HSPA1A
positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900740)	5/31	0.00000072827798053656322304597221795052774950818275101482868194580078125	0.000110698253041557613291119566145681574198533780872821807861328125	0.0000056337054502366711952764978532659512211466790176928043365478515625	0.00142720538072662315488836615173795507871545851230621337890625	-1.5872614012394584	22.43210352783312	YWHAE;YWHAQ;BCL2;DYNLL1;DYNLL2
positive regulation of cell proliferation (GO:0008284)	13/425	0.0000006829577544694137225728992890427804240971454419195652008056640625	0.000110698253041557613291119566145681574198533780872821807861328125	0.000015851012900881637779360033846387523226439952850341796875	0.002058814645678104689185961007069636252708733081817626953125	-1.5547993225109757	22.07322606928814	PRMT1;LEF1;IGF2;RHOG;IRS2;IGF1;RBPJ;IL2;NME1;SDCBP;CAPNS1;MVD;WNT1
non-canonical Wnt signaling pathway (GO:0035567)	7/128	0.000007293869984285218988399011885714884328990592621266841888427734375	0.000554334118805676636342061325279928496456705033779144287109375	0.000054417240872316183556388347053456300272955559194087982177734375	0.004209809021990766099430292257466135197319090366363525390625	-1.8349938207065186	21.705180901916776	CDC42;UBB;LEF1;DVL2;RAC1;CALM1;WNT1
transport along microtubule (GO:0010970)	3/16	0.00008839381374660943541630986342028108992963097989559173583984375	0.0023992606588365415938579605636959968251176178455352783203125	0.0003261168843792148185067869547992813750170171260833740234375	0.0097057679873686596161430628626476391218602657318115234375	-2.313046901614366	21.58930569074933	CDC42;DYNLL1;DYNLL2
positive regulation of protein localization to membrane (GO:1905477)	8/96	0.000000061670214861004813014112705717162388197039035730995237827301025390625	0.000046869363294363655561385051395717482591862790286540985107421875	0.000000821463746451360439897724542712698081459166132844984531402587890625	0.00062431244730303393601633654697025122004561126232147216796875	-1.2672759332330878	21.038636751713803	YWHAE;YWHAQ;BCL2;RHOG;FYN;DYNLL1;DYNLL2;ARF6
engulfment of apoptotic cell (GO:0043652)	2/10	0.001334322305309858756883212294042095891200006008148193359375	0.01389157468541770724945738635369707481004297733306884765625	0.0032529192726385761612328817449224516167305409908294677734375	0.037743796140539208339159671368179260753095149993896484375	-3.1680255108083895	20.970211856401686	RHOG;RAC1
positive regulation of B cell proliferation (GO:0030890)	3/31	0.000667800396140342286503688296050995631958357989788055419921875	0.0089040052818712307758364232768144574947655200958251953125	0.001861678949039764600914548253740576910786330699920654296875	0.0280173465598063560488828471761735272593796253204345703125	-2.8443858112787193	20.796787266104964	BCL2;IRS2;IL2
positive regulation of glycogen biosynthetic process (GO:0045725)	3/14	0.0000579230245831404964873025120741800719770253635942935943603515625	0.00183422911179944897637483780528100396622903645038604736328125	0.00023127140694550988469536945135729411049396730959415435791015625	0.00817045799524294437399252188924947404302656650543212890625	-2.1052246926603306	20.539404910035458	IGF2;IRS2;IGF1
positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	16/849	0.00001804605405571042833442509112362728274092660285532474517822265625	0.00096383556936151140552559990481995555455796420574188232421875	0.0004582320401904624892867878838131900920416228473186492919921875	0.01266386729253641922621209658927909913472831249237060546875	-1.853732722653095	20.247550466463622	ACVR1;FOXF2;CEBPG;LEF1;IGF1;RBPJ;RNF4;CDK9;PLSCR1;UBB;E2F2;PIN1;TNFSF11;IKBKG;HOXB7;FOXA2
regulation of mitotic nuclear division (GO:0007088)	7/85	0.000000463120814585811766786222105907189217077757348306477069854736328125	0.0001074101496392576397809204280520134489051997661590576171875	0.0000044370211550001429536417389687397161424087244085967540740966796875	0.00142720538072662315488836615173795507871545851230621337890625	-1.385695277354748	20.21075067482331	CHMP1B;IGF2;PIN1;IGF1;HSPA1B;HSPA1A;PPP1R9B
regulation of apoptotic process (GO:0042981)	16/816	0.000011069238564917278621062453336509889822991681285202503204345703125	0.000701051775778094277656593558134545673965476453304290771484375	0.0002977838127449820783583522842974389277515001595020294189453125	0.00963045522068878105670375333602351020090281963348388671875	-1.754281639920338	20.018705296662045	HRK;LEF1;IGF2;IGF1;IL2;GADD45G;NME1;UBB;C1QBP;BCL2;FYN;TNFRSF14;RAC1;VHL;HSPA1B;HSPA1A
cell projection assembly (GO:0030031)	3/21	0.00020573242421468936514013237104592235482414253056049346923828125	0.00434324006675455322190604334764429950155317783355712890625	0.00066353450259704874376887051568019160185940563678741455078125	0.01528140066587142624487949404965547728352248668670654296875	-2.338555265423348	19.85184164278719	CDC42;RHOG;RAC1
positive regulation of embryonic development (GO:0040019)	3/26	0.0003941414764460321831264499881086749155656434595584869384765625	0.0064418821956770851155926749243008089251816272735595703125	0.00116692441990106613065869556322695643757469952106475830078125	0.0213701821475857887955296376958358450792729854583740234375	-2.5208510141060323	19.760448532244784	IGF1;WNT1;FOXA2
cytokine-mediated signaling pathway (GO:0019221)	16/634	0.00000043003334843249906134794832875123393733929333393462002277374267578125	0.0001074101496392576397809204280520134489051997661590576171875	0.00001625379983430082645790883122405290350798168219625949859619140625	0.002058814645678104689185961007069636252708733081817626953125	-1.3428395745872614	19.685226591315452	TNFSF12;EBI3;IRS2;TNFRSF13C;CXCL13;IL2;CDC42;UBB;CSNK2B;BCL2;SAA1;TNFSF11;FYN;GRB2;TNFRSF14;IKBKG
positive regulation of glycogen metabolic process (GO:0070875)	3/15	0.000072111252016143347434197485856799403336481191217899322509765625	0.0021491980993046644853039506273262304603122174739837646484375	0.00027607118353388895339028952236049008206464350223541259765625	0.0091223521515545920312906247318096575327217578887939453125	-2.0469015291749852	19.52191490518982	IGF2;IRS2;IGF1
regulation of transcription from RNA polymerase II promoter involved in heart development (GO:1901213)	2/8	0.000836295118633322378566552490752883386448957026004791259765625	0.0100886395263702390023841104493840248323976993560791015625	0.002238904855496074049192589683343612705357372760772705078125	0.0306588773004867788662952676759232417680323123931884765625	-2.7458092564998267	19.4582569094279	ACVR1;RBPJ
regulation of transcription, DNA-templated (GO:0006355)	23/1599	0.00001902307044792456703599832501527799877294455654919147491455078125	0.00096383556936151140552559990481995555455796420574188232421875	0.00109376291383520550005992166830992573522962629795074462890625	0.02070574494469283599595854639119352214038372039794921875	-1.7870294255579524	19.424756242890854	ACVR1;PCNA;FOXF2;NFYA;RING1;PRMT1;CEBPG;LEF1;IGF2;RHOG;IGF1;RBPJ;RNF4;DHFR;YWHAQ;CCDC85B;MED31;DVL2;VHL;WNT1;HOXB7;MDFI;FOXA2
regulation of microtubule nucleation (GO:0010968)	2/7	0.000629503970453415225873305960391235203132964670658111572265625	0.0086202345503530730663754866327508352696895599365234375	0.0017995926199516711942172353388968986109830439090728759765625	0.027353807823265401111267891565148602239787578582763671875	-2.63319150000206	19.408144385571486	HSPA1B;HSPA1A
regulation of DNA binding (GO:0051101)	6/53	0.0000004735300550706308680908138315779343230360609595663845539093017578125	0.0001074101496392576397809204280520134489051997661590576171875	0.00000406065186644151722146316163541968080608057789504528045654296875	0.00142720538072662315488836615173795507871545851230621337890625	-1.3304388122394306	19.375247546017206	CEBPG;CSNK2B;LEF1;IGF1;MDFI;NME1
negative regulation of B cell apoptotic process (GO:0002903)	2/8	0.000836295118633322378566552490752883386448957026004791259765625	0.0100886395263702390023841104493840248323976993560791015625	0.002238904855496074049192589683343612705357372760772705078125	0.0306588773004867788662952676759232417680323123931884765625	-2.724421900673919	19.306694792252884	IRS2;IL2
positive regulation of stress fiber assembly (GO:0051496)	5/38	0.00000208594462444976845431378331685579041732125915586948394775390625	0.00021137572194424321240548148015392371235066093504428863525390625	0.00001381943497798842680236719449027305017807520925998687744140625	0.002058814645678104689185961007069636252708733081817626953125	-1.4635197325887717	19.143260690690422	CDC42;PXN;RAC1;PFN2;S100A10
regulation of muscle cell differentiation (GO:0051147)	4/37	0.0000515311767889747610548421830056753378812572918832302093505859375	0.00182156717951724726918538710407347025466151535511016845703125	0.00021184083252218989003312632490860778489150106906890869140625	0.00817045799524294437399252188924947404302656650543212890625	-1.914270184993272	18.900208915625775	CDC42;CDK9;IGF2;MAPK12
positive regulation of cellular process (GO:0048522)	14/520	0.00000113174782968607155991640211833981766176293604075908660888671875	0.0001433547250935690597385685496334417621255852282047271728515625	0.000029162102048868422730747151927488403089228086173534393310546875	0.002776183126164289728665668377516340115107595920562744140625	-1.3469838908911227	18.442563143243138	PRMT1;LEF1;IGF2;RHOG;IRS2;IGF1;IL2;CDC42;SDCBP;CAPNS1;BCL2;MVD;VHL;WNT1
positive regulation of insulin-like growth factor receptor signaling pathway (GO:0043568)	2/8	0.000836295118633322378566552490752883386448957026004791259765625	0.0100886395263702390023841104493840248323976993560791015625	0.002238904855496074049192589683343612705357372760772705078125	0.0306588773004867788662952676759232417680323123931884765625	-2.5573099986742585	18.12245145341383	IGF1;WNT1
positive regulation of activated T cell proliferation (GO:0042104)	3/20	0.00017705641643330437794146003938067224225960671901702880859375	0.003844653613980324007026734278724688920192420482635498046875	0.000583645920126553657651669038131103661726228892803192138671875	0.014439231568163270191806901721065514720976352691650390625	-2.069416689013971	17.877777980089824	IGF2;IGF1;IL2
Wnt signaling pathway, planar cell polarity pathway (GO:0060071)	5/89	0.0001377888338034562545376948694553220775560475885868072509765625	0.00321028802232962810758731819760214420966804027557373046875	0.000588968656069817548572020715624830700107850134372711181640625	0.014439231568163270191806901721065514720976352691650390625	-1.998371330846724	17.765097945269652	CDC42;UBB;DVL2;RAC1;WNT1
positive regulation of MAP kinase activity (GO:0043406)	8/178	0.000006806864736597131103714754252198559925091103650629520416259765625	0.000544549178927770569612343276588717344566248357295989990234375	0.00005978582532849079610171028065224163583479821681976318359375	0.004209809021990766099430292257466135197319090366363525390625	-1.4877785363869989	17.70096257433978	UBB;DVL2;IGF2;SAA1;TNFSF11;IGF1;IKBKG;GADD45G
negative regulation of receptor-mediated endocytosis (GO:0048261)	3/15	0.000072111252016143347434197485856799403336481191217899322509765625	0.0021491980993046644853039506273262304603122174739837646484375	0.00027607118353388895339028952236049008206464350223541259765625	0.0091223521515545920312906247318096575327217578887939453125	-1.8457830025816777	17.603787088071922	SDCBP;RAC1;ARF6
positive regulation of intracellular signal transduction (GO:1902533)	12/480	0.000014615762369433231169309379826604100571785238571465015411376953125	0.000854459953905327353369802967364421419915743172168731689453125	0.0002212076913624652814427395952634469722397625446319580078125	0.00817045799524294437399252188924947404302656650543212890625	-1.5688961903627348	17.467164530462806	UBB;C1QBP;BCL2;IGF2;TNFSF11;FYN;GRB2;IRS2;S100A4;IGF1;IKBKG;HCST
substantia nigra development (GO:0021762)	5/44	0.0000043952190265058913338385750135817175987540394999086856842041015625	0.000415707414941891687833186441736188498907722532749176025390625	0.0000264516171964312120303171316226809040017542429268360137939453125	0.002776183126164289728665668377516340115107595920562744140625	-1.405440911376496	17.33610407455208	CDC42;YWHAE;YWHAQ;CALM1;DYNLL1
regulation of spindle assembly (GO:0090169)	4/26	0.000012226106100904777967464977239675505416016676463186740875244140625	0.000743347250935010397422664230049349498585797846317291259765625	0.000060931446370918990293637229616052763958577997982501983642578125	0.004209809021990766099430292257466135197319090366363525390625	-1.5293586254897993	17.300008495501192	CHMP1B;RNF4;HSPA1B;HSPA1A
regulation of actin filament bundle assembly (GO:0032231)	3/25	0.0003500743183429313033598606619278825746732763946056365966796875	0.00606874552244727159810988581511992379091680049896240234375	0.0010517013215715340958278378735712976776994764804840087890625	0.020235265934034581125633422971077379770576953887939453125	-2.1719244609935275	17.2827958794631	CDC42;RAC1;PFN2
endothelial tube morphogenesis (GO:0061154)	2/11	0.00162493230602814959194490906924102091579698026180267333984375	0.01543685690726742144873728790344102890230715274810791015625	0.0038262977241755829864444660159961131284944713115692138671875	0.039297111761803282803384718135930597782135009765625	-2.683347863612292	17.23323579474272	CSNK2B;RBPJ
positive regulation of nucleic acid-templated transcription (GO:1903508)	11/503	0.00011218326309680374912314260171797286602668464183807373046875	0.0027066438080498682328123294382749008946120738983154296875	0.0012028164917651973549184152290081328828819096088409423828125	0.021765250803370238263934055567005998454988002777099609375	-1.8912620316779583	17.2017407040136	ACVR1;FOXF2;NFYA;LEF1;DVL2;RHOG;IGF1;VHL;RNF4;WNT1;FOXA2
negative regulation of inclusion body assembly (GO:0090084)	2/11	0.00162493230602814959194490906924102091579698026180267333984375	0.01543685690726742144873728790344102890230715274810791015625	0.0038262977241755829864444660159961131284944713115692138671875	0.039297111761803282803384718135930597782135009765625	-2.6672208392087478	17.12966338134727	HSPA1B;HSPA1A
positive regulation of lamellipodium organization (GO:1902745)	3/22	0.0002372556287326114021936362963316469176788814365863800048828125	0.00470089364978414081530644352824310772120952606201171875	0.00075007321135397140611511535013278262340463697910308837890625	0.01690636166063734513453908903102274052798748016357421875	-2.028053058000727	16.926886060627204	CDC42;RAC1;WNT1
negative regulation of transcription from RNA polymerase II promoter in response to stress (GO:0097201)	2/11	0.00162493230602814959194490906924102091579698026180267333984375	0.01543685690726742144873728790344102890230715274810791015625	0.0038262977241755829864444660159961131284944713115692138671875	0.039297111761803282803384718135930597782135009765625	-2.586006788286539	16.60808326556438	VHL;HSPA1A
epithelial to mesenchymal transition (GO:0001837)	4/38	0.000057348262929147333726541402310061812386265955865383148193359375	0.00183422911179944897637483780528100396622903645038604736328125	0.00023284695525012020188293515587929505272768437862396240234375	0.00817045799524294437399252188924947404302656650543212890625	-1.6928092056581419	16.532597662661043	FOXF2;LEF1;S100A4;RBPJ
T-helper 1 type immune response (GO:0042088)	2/8	0.000836295118633322378566552490752883386448957026004791259765625	0.0100886395263702390023841104493840248323976993560791015625	0.002238904855496074049192589683343612705357372760772705078125	0.0306588773004867788662952676759232417680323123931884765625	-2.3049641009890887	16.334194932836198	EBI3;LEF1
regulation of lamellipodium assembly (GO:0010591)	3/26	0.0003941414764460321831264499881086749155656434595584869384765625	0.0064418821956770851155926749243008089251816272735595703125	0.00116692441990106613065869556322695643757469952106475830078125	0.0213701821475857887955296376958358450792729854583740234375	-2.0760678843194578	16.273882251660673	CDC42;RAC1;WNT1
regulation of mitotic spindle assembly (GO:1901673)	3/20	0.00017705641643330437794146003938067224225960671901702880859375	0.003844653613980324007026734278724688920192420482635498046875	0.000583645920126553657651669038131103661726228892803192138671875	0.014439231568163270191806901721065514720976352691650390625	-1.8545319343404945	16.021379529380052	CHMP1B;HSPA1B;HSPA1A
positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862)	4/48	0.0001448585019253455122116569508960992607171647250652313232421875	0.0032468629351220354602169937408007172052748501300811767578125	0.00053288032696367781948509900757926516234874725341796875	0.013728442321776106183062182708454201929271221160888671875	-1.8068543870808353	15.972146743138682	ACVR1;SDCBP;RBPMS;CSNK2B
beta-catenin destruction complex disassembly (GO:1904886)	3/23	0.0002717436996588919293112163177994489160482771694660186767578125	0.005163130293518946277442349668262977502308785915374755859375	0.000843475927656027837410468439571786802844144403934478759765625	0.0180575128174248200618734472300275228917598724365234375	-1.9404149588457735	15.932070442477537	DVL2;WNT1;PPP1CA
negative regulation of lymphocyte apoptotic process (GO:0070229)	2/10	0.001334322305309858756883212294042095891200006008148193359375	0.01389157468541770724945738635369707481004297733306884765625	0.0032529192726385761612328817449224516167305409908294677734375	0.037743796140539208339159671368179260753095149993896484375	-2.37910142014216	15.748061572748085	IRS2;IL2
regulation of substrate adhesion-dependent cell spreading (GO:1900024)	4/42	0.000085488353820828964259315174700759598636068403720855712890625	0.0023625872328665461184760143709127078182063996791839599609375	0.00033203943114682257266301323994639460579492151737213134765625	0.0097057679873686596161430628626476391218602657318115234375	-1.6788226324513738	15.725750523226331	CDC42;C1QBP;RAC1;S100A10
regulation of DNA repair (GO:0006282)	4/38	0.000057348262929147333726541402310061812386265955865383148193359375	0.00183422911179944897637483780528100396622903645038604736328125	0.00023284695525012020188293515587929505272768437862396240234375	0.00817045799524294437399252188924947404302656650543212890625	-1.599241243746676	15.618778513269051	CDK9;PCNA;CEBPG;H2AFX
positive regulation of actin filament polymerization (GO:0030838)	5/52	0.00001015362411695179005910634473242026842854102142155170440673828125	0.000701051775778094277656593558134545673965476453304290771484375	0.0000554840804361332918278985892879262564747477881610393524169921875	0.004209809021990766099430292257466135197319090366363525390625	-1.3420296061803254	15.430226774970865	VASP;RHOG;RAC1;ARF6;PFN2
positive regulation of microtubule polymerization (GO:0031116)	3/25	0.0003500743183429313033598606619278825746732763946056365966796875	0.00606874552244727159810988581511992379091680049896240234375	0.0010517013215715340958278378735712976776994764804840087890625	0.020235265934034581125633422971077379770576953887939453125	-1.9366137930976306	15.410342985938167	RAC1;HSPA1B;HSPA1A
negative regulation of apoptotic signaling pathway (GO:2001234)	4/66	0.000496967162321629838707404136499690139316953718662261962890625	0.007553900867288773461616369075954935397021472454071044921875	0.00163417326204375219778075489784896490164101123809814453125	0.0264249293436862042749879719849559478461742401123046875	-2.019888924799477	15.365267996230033	ACVR1;BCL2;IGF1;HSPA1A
regulation of B cell apoptotic process (GO:0002902)	2/11	0.00162493230602814959194490906924102091579698026180267333984375	0.01543685690726742144873728790344102890230715274810791015625	0.0038262977241755829864444660159961131284944713115692138671875	0.039297111761803282803384718135930597782135009765625	-2.3857925701974314	15.322249670681598	IRS2;IL2
regulation of cell growth (GO:0001558)	9/202	0.000001901388693514047227499743665524167823832613066770136356353759765625	0.00021137572194424321240548148015392371235066093504428863525390625	0.00002171228366777882962915420528293708457567845471203327178955078125	0.002538667013463370702996968475417816080152988433837890625	-1.1626091838110109	15.314964800416655	CDC42;SDCBP;CCDC85B;LEF1;BCL2;HSPA1B;IL2;HSPA1A;PPP1R9B
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	5/78	0.00007355299273886168665882723249893615502514876425266265869140625	0.0021500105569821109825767724288425597478635609149932861328125	0.0003316735135200261377040609200861354111111722886562347412109375	0.0097057679873686596161430628626476391218602657318115234375	-1.601052318197554	15.2380225181213	ACVR1;UBB;PIN1;WNT1;HSPA1A
regulation of glycogen biosynthetic process (GO:0005979)	3/21	0.00020573242421468936514013237104592235482414253056049346923828125	0.00434324006675455322190604334764429950155317783355712890625	0.00066353450259704874376887051568019160185940563678741455078125	0.01528140066587142624487949404965547728352248668670654296875	-1.7894423463164741	15.190458234281389	IGF2;IRS2;IGF1
regulation of protein modification by small protein conjugation or removal (GO:1903320)	2/15	0.0030574965379435328598212162631853061611764132976531982421875	0.0239556429777019082305589137149581802077591419219970703125	0.00654717000783915092920750566918286494910717010498046875	0.055908418044469158914022699491397361271083354949951171875	-2.609269723904687	15.10808611272208	HSPA1B;HSPA1A
positive regulation of erythrocyte differentiation (GO:0045648)	3/23	0.0002717436996588919293112163177994489160482771694660186767578125	0.005163130293518946277442349668262977502308785915374755859375	0.000843475927656027837410468439571786802844144403934478759765625	0.0180575128174248200618734472300275228917598724365234375	-1.8302502200924384	15.027546196210492	PRMT1;HSPA1B;HSPA1A
neutrophil degranulation (GO:0043312)	10/480	0.00034204879344011348586696019680175595567561686038970947265625	0.00606874552244727159810988581511992379091680049896240234375	0.00284604382293844604401300557583454065024852752685546875	0.03527692496410174405330195668284432031214237213134765625	-1.8782328549833276	14.989344659361334	SDCBP;FCER1G;TYROBP;CSNK2B;RHOG;RAC1;APEH;DYNLL1;HSPA1B;HSPA1A
positive regulation of establishment of protein localization to mitochondrion (GO:1903749)	6/111	0.0000359892751940886986591720819728124070024932734668254852294921875	0.00143957100776354800057699190318771798047237098217010498046875	0.00020107494430474985255309638976228825413272716104984283447265625	0.00817045799524294437399252188924947404302656650543212890625	-1.4554329923272002	14.892411834744973	YWHAE;YWHAQ;BCL2;SNIP1;DYNLL1;DYNLL2
regulation of inclusion body assembly (GO:0090083)	2/12	0.00194286014103663379030961788629383590887300670146942138671875	0.0177900446649137573829069225439525325782597064971923828125	0.0044430529301339553860383801975331152789294719696044921875	0.043570583572926528670432588796757045201957225799560546875	-2.38342193185446	14.881119092746244	HSPA1B;HSPA1A
mesenchymal cell differentiation (GO:0048762)	4/42	0.000085488353820828964259315174700759598636068403720855712890625	0.0023625872328665461184760143709127078182063996791839599609375	0.00033203943114682257266301323994639460579492151737213134765625	0.0097057679873686596161430628626476391218602657318115234375	-1.5743321272305533	14.746974334851293	FOXF2;LEF1;S100A4;RBPJ
positive regulation of gene expression (GO:0010628)	14/772	0.00009499615529851140600763048649213260432588867843151092529296875	0.0025332308079603041602034796397902027820236980915069580078125	0.0015308666006110913278270846404893745784647762775421142578125	0.0255705190431742730716724310013887588866055011749267578125	-1.591598676444781	14.740868299265449	ACVR1;FOXF2;NFYA;LEF1;RHOG;IGF1;RNF4;PLSCR1;DVL2;VHL;WNT1;HSPA1B;FOXA2;HSPA1A
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240)	3/24	0.000309312141640939275259725160793777831713669002056121826171875	0.0056645115095690090623037349359947256743907928466796875	0.00094395099910408379433046643924853924545459449291229248046875	0.0193892637653811823750249487829933059401810169219970703125	-1.819150008897674	14.700841601574242	BCL2;HSPA1B;HSPA1A
negative regulation of signal transduction in absence of ligand (GO:1901099)	3/24	0.000309312141640939275259725160793777831713669002056121826171875	0.0056645115095690090623037349359947256743907928466796875	0.00094395099910408379433046643924853924545459449291229248046875	0.0193892637653811823750249487829933059401810169219970703125	-1.8121939506805311	14.644628584768931	BCL2;HSPA1B;HSPA1A
positive regulation of multicellular organismal process (GO:0051240)	7/203	0.0001393940851801022708100763480842942954041063785552978515625	0.00321028802232962810758731819760214420966804027557373046875	0.0008172143349830149859636119202832560404203832149505615234375	0.0180024027416548250413175225048689753748476505279541015625	-1.6489416618971353	14.639642917153527	ACVR1;SDCBP;C1QBP;LEF1;RBPJ;IL2;FOXA2
entry of bacterium into host cell (GO:0035635)	2/13	0.0022877991462594139508712753894315028446726500988006591796875	0.019536262372552300192740659667833824642002582550048828125	0.005102540544693257539010655676747774123214185237884521484375	0.0472918391947179939105438961632899008691310882568359375	-2.400145108614332	14.59327827242236	UBB;GRB2
ESCRT complex disassembly (GO:1904896)	2/11	0.00162493230602814959194490906924102091579698026180267333984375	0.01543685690726742144873728790344102890230715274810791015625	0.0038262977241755829864444660159961131284944713115692138671875	0.039297111761803282803384718135930597782135009765625	-2.2409584288883195	14.392082940472799	CHMP1B;VTA1
positive regulation of protein polymerization (GO:0032273)	5/65	0.000030472965542006877934060049550879512025858275592327117919921875	0.00132339736068144155599346500906676737940870225429534912109375	0.00014889977814776914652288020146642111285473220050334930419921875	0.00780440216498652118704004720939337857998907566070556640625	-1.3764562921198154	14.31331563635735	VASP;RHOG;RAC1;ARF6;PFN2
