"Term","Overlap","P-value","Genes"
"positive regulation of transcription, DNA-templated (GO:0045893)","21/1121",8.06891112143451e-07,"ACVR1;FOXF2;NFYA;CEBPG;LEF1;RHOG;IGF1;RBPJ;RNF4;CDK9;PLSCR1;UBB;DVL2;E2F2;PIN1;TNFSF11;IKBKG;VHL;WNT1;HOXB7;FOXA2"
"positive regulation of cellular process (GO:0048522)","14/520",1.13174782968607e-06,"PRMT1;LEF1;IGF2;RHOG;IRS2;IGF1;IL2;CDC42;SDCBP;CAPNS1;BCL2;MVD;VHL;WNT1"
"regulation of cell growth (GO:0001558)","9/202",1.90138869351405e-06,"CDC42;SDCBP;CCDC85B;LEF1;BCL2;HSPA1B;IL2;HSPA1A;PPP1R9B"
"positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901030)","5/38",2.08594462444977e-06,"YWHAE;YWHAQ;BCL2;DYNLL1;DYNLL2"
"positive regulation of stress fiber assembly (GO:0051496)","5/38",2.08594462444977e-06,"CDC42;PXN;RAC1;PFN2;S100A10"
"substantia nigra development (GO:0021762)","5/44",4.39521902650589e-06,"CDC42;YWHAE;YWHAQ;CALM1;DYNLL1"
"positive regulation of cytoskeleton organization (GO:0051495)","6/78",4.73453257555849e-06,"CDC42;VASP;RHOG;RAC1;ARF6;PFN2"
"positive regulation of actin filament bundle assembly (GO:0032233)","5/45",4.92285096641714e-06,"CDC42;PXN;RAC1;PFN2;S100A10"
"positive regulation of MAP kinase activity (GO:0043406)","8/178",6.80686473659713e-06,"UBB;DVL2;IGF2;SAA1;TNFSF11;IGF1;IKBKG;GADD45G"
"non-canonical Wnt signaling pathway (GO:0035567)","7/128",7.29386998428522e-06,"CDC42;UBB;LEF1;DVL2;RAC1;CALM1;WNT1"
"positive regulation of actin filament polymerization (GO:0030838)","5/52",1.01536241169518e-05,"VASP;RHOG;RAC1;ARF6;PFN2"
"Fc-gamma receptor signaling pathway (GO:0038094)","7/135",1.03474475056949e-05,"CDC42;FCER1G;ARPC3;FYN;GRB2;CD247;RAC1"
"Fc receptor mediated stimulatory signaling pathway (GO:0002431)","7/136",1.08594924337497e-05,"CDC42;FCER1G;ARPC3;FYN;GRB2;CD247;RAC1"
"regulation of apoptotic process (GO:0042981)","16/816",1.10692385649173e-05,"HRK;LEF1;IGF2;IGF1;IL2;GADD45G;NME1;UBB;C1QBP;BCL2;FYN;TNFRSF14;RAC1;VHL;HSPA1B;HSPA1A"
"regulation of spindle assembly (GO:0090169)","4/26",1.22261061009048e-05,"CHMP1B;RNF4;HSPA1B;HSPA1A"
"positive regulation of intracellular signal transduction (GO:1902533)","12/480",1.46157623694332e-05,"UBB;C1QBP;BCL2;IGF2;TNFSF11;FYN;GRB2;IRS2;S100A4;IGF1;IKBKG;HCST"
"positive regulation of substrate adhesion-dependent cell spreading (GO:1900026)","4/28",1.6601843928686e-05,"CDC42;C1QBP;RAC1;S100A10"
"positive regulation of transcription from RNA polymerase II promoter (GO:0045944)","16/849",1.80460540557104e-05,"ACVR1;FOXF2;CEBPG;LEF1;IGF1;RBPJ;RNF4;CDK9;PLSCR1;UBB;E2F2;PIN1;TNFSF11;IKBKG;HOXB7;FOXA2"
"positive regulation of cell growth (GO:0030307)","6/99",1.8795618598954e-05,"CDC42;SDCBP;LEF1;BCL2;IGF1;IL2"
"regulation of transcription, DNA-templated (GO:0006355)","23/1599",1.90230704479246e-05,"ACVR1;PCNA;FOXF2;NFYA;RING1;PRMT1;CEBPG;LEF1;IGF2;RHOG;IGF1;RBPJ;RNF4;DHFR;YWHAQ;CCDC85B;MED31;DVL2;VHL;WNT1;HOXB7;MDFI;FOXA2"
"regulation of pathway-restricted SMAD protein phosphorylation (GO:0060393)","5/60",2.05977374224737e-05,"ACVR1;SDCBP;RBPMS;CSNK2B;PIN1"
"regulation of stress fiber assembly (GO:0051492)","5/61",2.23381785977219e-05,"CDC42;PXN;RAC1;PFN2;S100A10"
"MAPK cascade (GO:0000165)","9/279",2.56768095208039e-05,"YWHAE;UBB;FYN;GRB2;IRS2;IGF1;IKBKG;CALM1;IL2"
"positive regulation of sequence-specific DNA binding transcription factor activity (GO:0051091)","8/216",2.76729336053078e-05,"UBB;CEBPG;DVL2;TNFSF11;IKBKG;WNT1;HSPA1B;HSPA1A"
"positive regulation of protein polymerization (GO:0032273)","5/65",3.04729655420069e-05,"VASP;RHOG;RAC1;ARF6;PFN2"
"positive regulation of establishment of protein localization to mitochondrion (GO:1903749)","6/111",3.59892751940887e-05,"YWHAE;YWHAQ;BCL2;SNIP1;DYNLL1;DYNLL2"
"negative regulation of cytokine production (GO:0001818)","6/111",3.59892751940887e-05,"RNF216;UBB;C1QBP;LEF1;PIN1;RAC1"
"macroautophagy (GO:0016236)","6/111",3.59892751940887e-05,"MAP1LC3B;UBB;VTA1;CSNK2B;DYNLL1;DYNLL2"
"regulation of actin filament polymerization (GO:0030833)","5/69",4.07380055392185e-05,"VASP;RHOG;RAC1;ARF6;PFN2"
"positive regulation of ATPase activity (GO:0032781)","4/36",4.61569408342461e-05,"PLSCR1;DYNLL1;DYNLL2;PFN2"
"vascular endothelial growth factor receptor signaling pathway (GO:0048010)","5/71",4.67816037800107e-05,"CDC42;PXN;FYN;RAC1;MAPK12"
"positive regulation of growth (GO:0045927)","5/72",5.00519719631176e-05,"CDC42;SDCBP;LEF1;BCL2;IL2"
"regulation of muscle cell differentiation (GO:0051147)","4/37",5.15311767889748e-05,"CDC42;CDK9;IGF2;MAPK12"
"regulation of transcription from RNA polymerase II promoter (GO:0006357)","21/1479",5.65530986423958e-05,"ACVR1;FOXF2;CEBPG;LEF1;IGF2;IGF1;RBPJ;RNF4;CDK9;PLSCR1;UBB;C1QBP;MED31;E2F2;PIN1;TNFSF11;IKBKG;VHL;HOXB7;MDFI;FOXA2"
"epithelial to mesenchymal transition (GO:0001837)","4/38",5.73482629291473e-05,"FOXF2;LEF1;S100A4;RBPJ"
"regulation of DNA repair (GO:0006282)","4/38",5.73482629291473e-05,"CDK9;PCNA;CEBPG;H2AFX"
"positive regulation of lamellipodium assembly (GO:0010592)","3/14",5.79230245831405e-05,"CDC42;RAC1;WNT1"
"positive regulation of glycogen biosynthetic process (GO:0045725)","3/14",5.79230245831405e-05,"IGF2;IRS2;IGF1"
"negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)","5/77",6.91415529859517e-05,"ACVR1;BCL2;IGF1;HSPA1B;HSPA1A"
"positive regulation of glycogen metabolic process (GO:0070875)","3/15",7.21112520161433e-05,"IGF2;IRS2;IGF1"
"negative regulation of receptor-mediated endocytosis (GO:0048261)","3/15",7.21112520161433e-05,"SDCBP;RAC1;ARF6"
"negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)","5/78",7.35529927388617e-05,"ACVR1;UBB;PIN1;WNT1;HSPA1A"
"negative regulation of apoptotic process (GO:0043066)","11/486",8.2803446688114e-05,"YWHAE;UBB;LEF1;BCL2;IGF2;IGF1;VHL;WNT1;HSPA1B;IL2;HSPA1A"
"regulation of substrate adhesion-dependent cell spreading (GO:1900024)","4/42",8.5488353820829e-05,"CDC42;C1QBP;RAC1;S100A10"
"mesenchymal cell differentiation (GO:0048762)","4/42",8.5488353820829e-05,"FOXF2;LEF1;S100A4;RBPJ"
"transport along microtubule (GO:0010970)","3/16",8.83938137466094e-05,"CDC42;DYNLL1;DYNLL2"
"positive regulation of gene expression (GO:0010628)","14/772",9.49961552985114e-05,"ACVR1;FOXF2;NFYA;LEF1;RHOG;IGF1;RNF4;PLSCR1;DVL2;VHL;WNT1;HSPA1B;FOXA2;HSPA1A"
"ephrin receptor signaling pathway (GO:0048013)","5/83",9.89583834776653e-05,"CDC42;SDCBP;ARPC3;FYN;RAC1"
"positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100)","5/83",9.89583834776653e-05,"ACVR1;SDCBP;RBPMS;CSNK2B;RBPJ"
"Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)","6/134",0.000102915959177989,"CDC42;ARPC3;FYN;GRB2;CD247;RAC1"
"positive regulation of cell differentiation (GO:0045597)","7/195",0.000108610686622148,"ACVR1;CDC42;SDCBP;LEF1;IGF1;VHL;MAPK12"
"positive regulation of supramolecular fiber organization (GO:1902905)","5/85",0.000110819209116824,"VASP;RHOG;RAC1;ARF6;PFN2"
"positive regulation of nucleic acid-templated transcription (GO:1903508)","11/503",0.000112183263096804,"ACVR1;FOXF2;NFYA;LEF1;DVL2;RHOG;IGF1;VHL;RNF4;WNT1;FOXA2"
"protein complex disassembly (GO:0043241)","4/47",0.000133354351466666,"MAP1LC3B;DVL2;WNT1;PPP1CA"
"Wnt signaling pathway, planar cell polarity pathway (GO:0060071)","5/89",0.000137788833803456,"CDC42;UBB;DVL2;RAC1;WNT1"
"positive regulation of multicellular organismal process (GO:0051240)","7/203",0.000139394085180102,"ACVR1;SDCBP;C1QBP;LEF1;RBPJ;IL2;FOXA2"
"positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862)","4/48",0.000144858501925346,"ACVR1;SDCBP;RBPMS;CSNK2B"
"regulation of establishment of planar polarity (GO:0090175)","5/90",0.000145254394465986,"CDC42;UBB;DVL2;RAC1;WNT1"
"positive regulation of activated T cell proliferation (GO:0042104)","3/20",0.000177056416433304,"IGF2;IGF1;IL2"
"regulation of mitotic spindle assembly (GO:1901673)","3/20",0.000177056416433304,"CHMP1B;HSPA1B;HSPA1A"
"cell projection assembly (GO:0030031)","3/21",0.000205732424214689,"CDC42;RHOG;RAC1"
"regulation of glycogen biosynthetic process (GO:0005979)","3/21",0.000205732424214689,"IGF2;IRS2;IGF1"
"protein stabilization (GO:0050821)","6/153",0.000212454240945153,"PIN1;IGF1;VHL;HSPA1B;HSPA1A;PFN2"
"positive regulation of cell-substrate adhesion (GO:0010811)","4/53",0.000213402366215795,"CDC42;C1QBP;RAC1;S100A10"
"cellular response to cytokine stimulus (GO:0071345)","10/457",0.000231595735700309,"CDK9;UBB;LEF1;BCL2;SAA1;TNFSF11;FYN;GRB2;UBE2G2;IL2"
"positive regulation of lamellipodium organization (GO:1902745)","3/22",0.000237255628732611,"CDC42;RAC1;WNT1"
"small GTPase mediated signal transduction (GO:0007264)","5/100",0.000238137375679855,"RASSF1;RIT1;RGS19;GRB2;IGF1"
"Ras protein signal transduction (GO:0007265)","7/224",0.000254982370811809,"CDC42;RASSF1;RIT1;RHOG;GRB2;IGF1;RAC1"
"beta-catenin destruction complex disassembly (GO:1904886)","3/23",0.000271743699658892,"DVL2;WNT1;PPP1CA"
"positive regulation of erythrocyte differentiation (GO:0045648)","3/23",0.000271743699658892,"PRMT1;HSPA1B;HSPA1A"
"regulation of tumor necrosis factor-mediated signaling pathway (GO:0010803)","4/57",0.000283009064932652,"UBB;IKBKG;HSPA1B;HSPA1A"
"negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240)","3/24",0.000309312141640939,"BCL2;HSPA1B;HSPA1A"
"negative regulation of signal transduction in absence of ligand (GO:1901099)","3/24",0.000309312141640939,"BCL2;HSPA1B;HSPA1A"
"positive regulation of cell morphogenesis involved in differentiation (GO:0010770)","4/59",0.000323315219397063,"CDC42;C1QBP;RAC1;S100A10"
"neutrophil degranulation (GO:0043312)","10/480",0.000342048793440113,"SDCBP;FCER1G;TYROBP;CSNK2B;RHOG;RAC1;APEH;DYNLL1;HSPA1B;HSPA1A"
"regulation of actin filament bundle assembly (GO:0032231)","3/25",0.000350074318342931,"CDC42;RAC1;PFN2"
"positive regulation of microtubule polymerization (GO:0031116)","3/25",0.000350074318342931,"RAC1;HSPA1B;HSPA1A"
"neuron projection development (GO:0031175)","6/168",0.000351348424983789,"CDC42;UBB;PRMT1;RHOG;RAC1;PPP1R9B"
"neutrophil activation involved in immune response (GO:0002283)","10/484",0.000365154469565635,"SDCBP;FCER1G;TYROBP;CSNK2B;RHOG;RAC1;APEH;DYNLL1;HSPA1B;HSPA1A"
"neutrophil mediated immunity (GO:0002446)","10/488",0.000389550053861722,"SDCBP;FCER1G;TYROBP;CSNK2B;RHOG;RAC1;APEH;DYNLL1;HSPA1B;HSPA1A"
"positive regulation of T cell proliferation (GO:0042102)","4/62",0.000391258240202377,"EBI3;IGF2;IGF1;IL2"
"positive regulation of embryonic development (GO:0040019)","3/26",0.000394141476446032,"IGF1;WNT1;FOXA2"
"regulation of lamellipodium assembly (GO:0010591)","3/26",0.000394141476446032,"CDC42;RAC1;WNT1"
"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)","4/63",0.000416010610989235,"RBL2;PCNA;UBB;PRMT1"
"positive regulation of developmental process (GO:0051094)","5/114",0.000436686363974407,"ACVR1;C1QBP;VHL;RBPJ;FOXA2"
"signal transduction involved in mitotic G1 DNA damage checkpoint (GO:0072431)","4/64",0.000441861114494234,"RBL2;PCNA;UBB;PRMT1"
"negative regulation of programmed cell death (GO:0043069)","9/409",0.000460928211152513,"UBB;LEF1;BCL2;IGF2;IGF1;VHL;HSPA1B;IL2;HSPA1A"
"regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001239)","3/28",0.000492625280386243,"BCL2;HSPA1B;HSPA1A"
"response to hexose (GO:0009746)","3/28",0.000492625280386243,"IGF2;IRS2;IGF1"
"negative regulation of apoptotic signaling pathway (GO:2001234)","4/66",0.00049696716232163,"ACVR1;BCL2;IGF1;HSPA1A"
"activation of MAPK activity (GO:0000187)","5/118",0.000511408423835423,"UBB;IGF2;SAA1;IGF1;IKBKG"
"regulation of defense response to virus by virus (GO:0050690)","3/29",0.000547254046448712,"FYN;CD247;RAC1"
"Fc-epsilon receptor signaling pathway (GO:0038095)","6/183",0.000553018596763099,"FCER1G;UBB;GRB2;IKBKG;RAC1;CALM1"
"Fc receptor signaling pathway (GO:0038093)","6/184",0.000569113550129458,"FCER1G;UBB;GRB2;IKBKG;RAC1;CALM1"
"regulation of intracellular signal transduction (GO:1902531)","9/423",0.000586953222564562,"CDC42;UBB;TAF10;CSNK2B;RHOG;PIN1;TNFSF11;IKBKG;RAC1"
"antigen receptor-mediated signaling pathway (GO:0050851)","7/258",0.00059538547948249,"CD79A;UBB;BCL2;CSK;FYN;CD247;IKBKG"
"B cell proliferation (GO:0042100)","3/30",0.000605612080862956,"CD79A;LEF1;BCL2"
"positive regulation of myeloid cell differentiation (GO:0045639)","3/30",0.000605612080862956,"PRMT1;HSPA1B;HSPA1A"
"regulation of activated T cell proliferation (GO:0046006)","3/30",0.000605612080862956,"IGF2;IGF1;IL2"
"positive regulation of microtubule motor activity (GO:2000576)","2/7",0.000629503970453415,"DYNLL1;DYNLL2"
"regulation of microtubule nucleation (GO:0010968)","2/7",0.000629503970453415,"HSPA1B;HSPA1A"
"tumor necrosis factor-mediated signaling pathway (GO:0033209)","5/124",0.000641030043440548,"UBB;TNFSF12;TNFSF11;TNFRSF14;TNFRSF13C"
"negative regulation of gene expression (GO:0010629)","11/619",0.000657592723053761,"DHFR;RBL2;RING1;YWHAQ;CCDC85B;LEF1;VHL;RBPJ;HSPA1B;MDFI;HSPA1A"
"positive regulation of B cell proliferation (GO:0030890)","3/31",0.000667800396140342,"BCL2;IRS2;IL2"
"positive regulation of protein kinase B signaling (GO:0051897)","5/128",0.000740176867847038,"C1QBP;IGF2;FYN;GRB2;IRS2"
"positive regulation of NF-kappaB transcription factor activity (GO:0051092)","5/129",0.000766659693214911,"UBB;TNFSF11;IKBKG;HSPA1B;HSPA1A"
"B cell activation (GO:0042113)","4/74",0.000766886515930331,"CD79A;CEBPG;LEF1;BCL2"
"canonical Wnt signaling pathway (GO:0060070)","4/74",0.000766886515930331,"LEF1;DVL2;WNT1;PPP1CA"
"negative regulation of cellular process (GO:0048523)","10/535",0.000793547343426931,"CCDC85B;CSNK2B;BCL2;CSK;VHL;WNT1;HSPA1B;HSPA1A;NME1;PPP1R9B"
"regulation of erythrocyte differentiation (GO:0045646)","3/33",0.000804062051683554,"PRMT1;HSPA1B;HSPA1A"
"positive regulation of tumor necrosis factor-mediated signaling pathway (GO:1903265)","2/8",0.000836295118633322,"HSPA1B;HSPA1A"
"regulation of transcription from RNA polymerase II promoter involved in heart development (GO:1901213)","2/8",0.000836295118633322,"ACVR1;RBPJ"
"negative regulation of B cell apoptotic process (GO:0002903)","2/8",0.000836295118633322,"IRS2;IL2"
"positive regulation of insulin-like growth factor receptor signaling pathway (GO:0043568)","2/8",0.000836295118633322,"IGF1;WNT1"
"T-helper 1 type immune response (GO:0042088)","2/8",0.000836295118633322,"EBI3;LEF1"
"positive regulation of insulin receptor signaling pathway (GO:0046628)","2/8",0.000836295118633322,"IGF2;IGF1"
"positive regulation of cell-cell adhesion (GO:0022409)","3/34",0.000878327616093449,"TNFSF11;CXCL13;FOXA2"
"transforming growth factor beta receptor signaling pathway (GO:0007179)","4/77",0.000890535143811836,"ACVR1;UBB;PXN;NEDD8"
"positive regulation of DNA binding (GO:0043388)","3/35",0.000956807953989763,"CEBPG;IGF1;NME1"
"regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)","4/80",0.00102760643032649,"SDCBP;UBB;PIN1;HSPA1A"
"regulation of mitotic spindle organization (GO:0060236)","3/36",0.00103959440975968,"CHMP1B;HSPA1B;HSPA1A"
"response to cytokine (GO:0034097)","5/139",0.00107203168482579,"CDK9;PLSCR1;LEF1;BCL2;FOXA2"
"ERBB signaling pathway (GO:0038127)","4/81",0.0010764120700158,"UBB;PXN;CSK;GRB2"
"positive regulation of phosphorylation (GO:0042327)","6/209",0.00110424327974876,"SDCBP;DVL2;IGF2;PIN1;IGF1;RAC1"
"lymphocyte proliferation (GO:0046651)","3/37",0.00112677645967327,"CD79A;LEF1;BCL2"
"positive regulation of cell cycle arrest (GO:0071158)","4/83",0.00117886635177727,"RBL2;PCNA;UBB;PRMT1"
"positive regulation of DNA metabolic process (GO:0051054)","4/83",0.00117886635177727,"PCNA;CEBPG;H2AFX;IGF1"
"DNA damage response, signal transduction by p53 class mediator (GO:0030330)","4/83",0.00117886635177727,"RBL2;PCNA;UBB;PRMT1"
"negative regulation of binding (GO:0051100)","4/83",0.00117886635177727,"LEF1;PIN1;MDFI;PPP1CA"
"positive regulation of macromolecule biosynthetic process (GO:0010557)","5/143",0.00121650279318399,"PCNA;PRMT1;IGF2;IRS2;IGF1"
"positive regulation of homeostatic process (GO:0032846)","4/84",0.0012325716709366,"PRMT1;TNFSF11;HSPA1B;HSPA1A"
"transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)","5/145",0.00129391311487433,"ACVR1;UBB;LEF1;PXN;NEDD8"
"positive regulation of DNA repair (GO:0045739)","3/39",0.00131467603625955,"PCNA;CEBPG;H2AFX"
"T cell differentiation (GO:0030217)","3/39",0.00131467603625955,"FCER1G;LEF1;IL2"
"engulfment of apoptotic cell (GO:0043652)","2/10",0.00133432230530986,"RHOG;RAC1"
"negative regulation of lymphocyte apoptotic process (GO:0070229)","2/10",0.00133432230530986,"IRS2;IL2"
"regulation of plasma membrane bounded cell projection assembly (GO:0120032)","3/40",0.00141556336756012,"CDC42;RAC1;ARF6"
"viral process (GO:0016032)","6/221",0.00146910144421756,"UBB;RPLP1;VTA1;FYN;CD247;RAC1"
"positive regulation of epithelial to mesenchymal transition (GO:0010718)","3/41",0.00152118594420289,"ACVR1;SDCBP;LEF1"
"negative regulation of epidermal growth factor receptor signaling pathway (GO:0042059)","3/41",0.00152118594420289,"CDC42;UBB;GRB2"
"regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)","4/89",0.00152701106258401,"SDCBP;SUMO2;HSPA1B;HSPA1A"
"endothelial tube morphogenesis (GO:0061154)","2/11",0.00162493230602815,"CSNK2B;RBPJ"
"negative regulation of inclusion body assembly (GO:0090084)","2/11",0.00162493230602815,"HSPA1B;HSPA1A"
"negative regulation of transcription from RNA polymerase II promoter in response to stress (GO:0097201)","2/11",0.00162493230602815,"VHL;HSPA1A"
"regulation of B cell apoptotic process (GO:0002902)","2/11",0.00162493230602815,"IRS2;IL2"
"ESCRT complex disassembly (GO:1904896)","2/11",0.00162493230602815,"CHMP1B;VTA1"
"ESCRT III complex disassembly (GO:1904903)","2/11",0.00162493230602815,"CHMP1B;VTA1"
"positive regulation of nuclease activity (GO:0032075)","2/11",0.00162493230602815,"PCNA;HSPA1A"
"regulation of chromatin organization (GO:1902275)","2/11",0.00162493230602815,"CDK9;IGF2"
"protein tetramerization (GO:0051262)","4/91",0.00165740539936903,"CD79A;HMGCL;CD247;S100A10"
"regulation of B cell proliferation (GO:0030888)","3/44",0.00186726099548154,"BCL2;IRS2;IL2"
"negative regulation of ERBB signaling pathway (GO:1901185)","3/44",0.00186726099548154,"CDC42;UBB;GRB2"
"regulation of inclusion body assembly (GO:0090083)","2/12",0.00194286014103663,"HSPA1B;HSPA1A"
"positive regulation of interferon-gamma biosynthetic process (GO:0045078)","2/12",0.00194286014103663,"CEBPG;EBI3"
"negative regulation of type I interferon production (GO:0032480)","3/45",0.00199261177129074,"RNF216;UBB;PIN1"
"positive regulation of cellular biosynthetic process (GO:0031328)","5/160",0.00199566647843218,"PCNA;PRMT1;IGF2;IRS2;IGF1"
"transcription initiation from RNA polymerase II promoter (GO:0006367)","5/161",0.00205066522179733,"CDK9;TAF10;MED31;E2F2;RBPJ"
"peptidyl-tyrosine autophosphorylation (GO:0038083)","3/46",0.00212308284073543,"CSK;FYN;GRB2"
"negative regulation of protein modification by small protein conjugation or removal (GO:1903321)","3/47",0.00225874614687877,"RNF4;HSPA1B;HSPA1A"
"entry of bacterium into host cell (GO:0035635)","2/13",0.00228779914625941,"UBB;GRB2"
"regulation of actomyosin structure organization (GO:0110020)","2/13",0.00228779914625941,"CDC42;RAC1"
"plasma membrane bounded cell projection assembly (GO:0120031)","6/242",0.00232071075469503,"SDCBP;RAC1;DYNLL1;DYNLL2;ARF6;PPP1R9B"
"cellular response to heat (GO:0034605)","3/48",0.00239967198987936,"YWHAE;HSPA1B;HSPA1A"
"response to glucose (GO:0009749)","3/48",0.00239967198987936,"IGF2;IRS2;IGF1"
"cellular response to transforming growth factor beta stimulus (GO:0071560)","4/101",0.00242702420686895,"ACVR1;UBB;PXN;NEDD8"
"protein K48-linked ubiquitination (GO:0070936)","3/49",0.00254592904646718,"RNF216;UBE2G2;RNF4"
"positive regulation of response to DNA damage stimulus (GO:2001022)","3/50",0.00269758438937181,"PCNA;CEBPG;H2AFX"
"positive regulation of hydrolase activity (GO:0051345)","5/173",0.00280016604935878,"PIN1;CALM1;MAPK12;PFN2;S100A10"
"regulation of protein modification by small protein conjugation or removal (GO:1903320)","2/15",0.00305749653794353,"HSPA1B;HSPA1A"
"cell surface receptor signaling pathway involved in heart development (GO:0061311)","2/15",0.00305749653794353,"ACVR1;RBPJ"
"regulation of activin receptor signaling pathway (GO:0032925)","2/15",0.00305749653794353,"ACVR1;CSNK2B"
"regulation of interferon-gamma biosynthetic process (GO:0045072)","2/15",0.00305749653794353,"CEBPG;EBI3"
"regulation of defense response to virus (GO:0050688)","2/15",0.00305749653794353,"RNF216;C1QBP"
"regulation of histone modification (GO:0031056)","2/15",0.00305749653794353,"CDK9;IGF2"
"positive regulation of mitotic cell cycle (GO:0045931)","3/53",0.00318558719250136,"EIF4EBP1;IGF2;IGF1"
"plasma membrane bounded cell projection morphogenesis (GO:0120039)","3/53",0.00318558719250136,"UBB;RHOG;RAC1"
"negative regulation of cellular response to transforming growth factor beta stimulus (GO:1903845)","3/54",0.00335947497978941,"UBB;PIN1;HSPA1A"
"positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)","3/54",0.00335947497978941,"IGF2;IGF1;HCST"
"positive regulation of cellular response to insulin stimulus (GO:1900078)","2/16",0.0034816540701364,"IGF2;IGF1"
"negative regulation of cellular component organization (GO:0051129)","3/55",0.00353907300992076,"CDC42;HSPA1B;HSPA1A"
"ATP metabolic process (GO:0046034)","3/57",0.00391562968070205,"HSPA1B;ATP5J2;HSPA1A"
"positive regulation of cardiac muscle tissue growth (GO:0055023)","2/17",0.00393162102721351,"IGF1;RBPJ"
"ruffle organization (GO:0031529)","2/17",0.00393162102721351,"RAC1;ARF6"
"myoblast differentiation (GO:0045445)","2/17",0.00393162102721351,"IGF1;MAPK12"
"cellular response to oxidative stress (GO:0034599)","4/116",0.00399498130186561,"PXN;CYCS;HSPA1B;HSPA1A"
"epidermal growth factor receptor signaling pathway (GO:0007173)","3/58",0.00411269959330883,"PXN;CSK;GRB2"
"regulation of epidermal growth factor receptor signaling pathway (GO:0042058)","3/59",0.00431570232788577,"CDC42;UBB;GRB2"
"virion assembly (GO:0019068)","2/18",0.00440710311321312,"UBB;VTA1"
"regulation of insulin-like growth factor receptor signaling pathway (GO:0043567)","2/18",0.00440710311321312,"IGF1;WNT1"
"regulation of lamellipodium organization (GO:1902743)","2/18",0.00440710311321312,"CDC42;RAC1"
"positive regulation of focal adhesion assembly (GO:0051894)","2/18",0.00440710311321312,"RAC1;S100A10"
"cell morphogenesis (GO:0000902)","3/60",0.00452468992938101,"RHOG;RAC1;VHL"
"negative regulation of growth (GO:0045926)","4/121",0.00464102803459206,"CCDC85B;HSPA1B;HSPA1A;PPP1R9B"
"response to nutrient levels (GO:0031667)","2/19",0.00490780845072814,"IGF2;IGF1"
"positive regulation of p38MAPK cascade (GO:1900745)","2/19",0.00490780845072814,"PRMT1;GADD45G"
"acute-phase response (GO:0006953)","2/19",0.00490780845072814,"PLSCR1;SAA1"
"error-free translesion synthesis (GO:0070987)","2/20",0.00543344756525352,"PCNA;UBB"
