Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
guanyl ribonucleotide binding (GO:0032561)	6/171	0.0003861293529905047484419855496895479518570937216281890869140625	0.007014701306485468003393268787704073474742472171783447265625	0.0027047075702632439493655613915734647889621555805206298828125	0.045258773342404946815609179111561388708651065826416015625	-1.860386783217383	14.621408787957662	CDC42;RIT1;RHOG;RAC1;ARF6;NME1
nucleoside-triphosphatase activity (GO:0017111)	12/425	0.0000042942279562658841545017170127085393005472724325954914093017578125	0.00026946280425568422921267508485243524773977696895599365234375	0.000155118563831082505004299587625382628175429999828338623046875	0.0097336898804004264029732240715020452626049518585205078125	-1.1720000996668376	14.483857073377266	CDC42;ARL4D;GNA15;RIT1;RHOG;PIN1;RAC1;HSPA1B;ARF6;ATP5J2;HSPA1A;PFN2
protein phosphorylated amino acid binding (GO:0045309)	3/35	0.000956807953989763436235260751772102594259195029735565185546875	0.0122323866368992638375967629826845950447022914886474609375	0.003269815270729043051034512501473727752454578876495361328125	0.051295227059561861182590547514337231405079364776611328125	-2.061641538243911	14.332342017696407	YWHAE;PIN1;GRB2
phosphoserine residue binding (GO:0050815)	2/7	0.000629503970453415225873305960391235203132964670658111572265625	0.00929444097551807187074235372392649878747761249542236328125	0.0021321975281207265762173364009868237189948558807373046875	0.039841316669320954446664728720861603505909442901611328125	-1.8544651961338965	13.66848111295956	YWHAE;PIN1
purine ribonucleoside triphosphate binding (GO:0035639)	9/397	0.0003714990771229583171701704724654291567276231944561004638671875	0.007014701306485468003393268787704073474742472171783447265625	0.00461144804360591985259443248423849581740796566009521484375	0.057458071278417337246491314317609067074954509735107421875	-1.7144873631726754	13.540959777972795	ACVR1;CDC42;RIT1;RHOG;RAC1;HSPA1B;ARF6;HSPA1A;NME1
ubiquitin-like protein ligase activity (GO:0061659)	6/187	0.000619592310387334188441499360777697802404873073101043701171875	0.00929444097551807187074235372392649878747761249542236328125	0.004143247154051868559598847951974676107056438922882080078125	0.054734475561422059330940470545101561583578586578369140625	-1.8298971195363185	13.51644149271119	CDC42;RNF11;RNF216;UBE2G2;VHL;RNF4
insulin-like growth factor receptor binding (GO:0005159)	2/16	0.003481654070136399985180286620334300096146762371063232421875	0.030713220308006682068846515676341368816792964935302734375	0.008653902769669798156204620909193181432783603668212890625	0.08354344596873534978254127736363443545997142791748046875	-2.2481251312325137	12.724945307069444	IGF2;IGF1
snRNA binding (GO:0017069)	3/37	0.00112677645967327482758035817056452287943102419376373291015625	0.01285549506263600032240912440784086356870830059051513671875	0.003786362994417390159807013105819351039826869964599609375	0.054734475561422059330940470545101561583578586578369140625	-1.7803493114803566	12.085713320112339	CDK9;RBPMS;LSM2
ubiquitin protein ligase activity (GO:0061630)	6/193	0.000730933969874392945424712575430703509482555091381072998046875	0.01019246813547070203143096733811034937389194965362548828125	0.00480724899142137042373779109993847669102251529693603515625	0.057458071278417337246491314317609067074954509735107421875	-1.6098568031011218	11.625077711915228	CDC42;RNF11;RNF216;UBE2G2;VHL;RNF4
CD4 receptor binding (GO:0042609)	1/7	0.038214735111986954108065361879198462702333927154541015625	0.12953959147113902616865743766538798809051513671875	0.061337393958156009865501090416728402487933635711669921875	0.236856705899956276883955297307693399488925933837890625	-3.505037975473664	11.442315999145382	PLSCR1
ephrin receptor binding (GO:0046875)	2/20	0.0054334475652535185741243140000733546912670135498046875	0.040111627614077445536100441358939860947430133819580078125	0.012801954030528465977578633783195982687175273895263671875	0.11080311936767740788045699673602939583361148834228515625	-2.102306761484962	10.963911194808516	FYN;GRB2
protein homodimerization activity (GO:0042803)	10/665	0.003909460474956790061729083873842682805843651294708251953125	0.030713220308006682068846515676341368816792964935302734375	0.0392423695114316462007053587512928061187267303466796875	0.2010170356605988362108661249294527806341648101806640625	-1.9408885481269174	10.760976873923994	ACVR1;CD79A;HMGCL;FCER1G;RBPMS;BCL2;MVD;CD247;IKBKG;S100A10
frizzled binding (GO:0005109)	3/38	0.00121844173369995019927392032599300364381633698940277099609375	0.0132969076155951097806262595213411259464919567108154296875	0.004062216757902186760331719739269829005934298038482666015625	0.054734475561422059330940470545101561583578586578369140625	-1.552381673247	10.416764343503402	SDCBP;DVL2;WNT1
non-membrane spanning protein tyrosine kinase activity (GO:0004715)	3/44	0.001867260995481544345875324353301039081998169422149658203125	0.01735861147651361624522081683608121238648891448974609375	0.005972883960447963359874368194368798867799341678619384765625	0.06509174983436123718139043603514437563717365264892578125	-1.6479894787359202	10.354783666408196	CSK;FYN;GRB2
DNA insertion or deletion binding (GO:0032135)	1/7	0.038214735111986954108065361879198462702333927154541015625	0.12953959147113902616865743766538798809051513671875	0.061337393958156009865501090416728402487933635711669921875	0.236856705899956276883955297307693399488925933837890625	-3.129040843199018	10.214860538644254	PCNA
inositol trisphosphate kinase activity (GO:0051766)	1/7	0.038214735111986954108065361879198462702333927154541015625	0.12953959147113902616865743766538798809051513671875	0.061337393958156009865501090416728402487933635711669921875	0.236856705899956276883955297307693399488925933837890625	-3.123147822783228	10.195622572534125	CALM1
transcription cofactor binding (GO:0001221)	2/26	0.009094979489366654401560907672319444827735424041748046875	0.0496269533006745700021156153525225818157196044921875	0.0203194445947906913996217070916827651672065258026123046875	0.1458113304067641669004018467603600583970546722412109375	-2.1319557682000454	10.020261872758105	CDK9;SUMO2
GTP binding (GO:0005525)	6/148	0.0001773893730016122007552004102848286493099294602870941162109375	0.005565591577925583198493963976716258912347257137298583984375	0.00133746462684285866671929365878668249933980405330657958984375	0.0373004023708397303149553181356168352067470550537109375	-1.1506713309093566	9.938536297907792	CDC42;RIT1;RHOG;RAC1;ARF6;NME1
protein serine/threonine phosphatase activity (GO:0004722)	4/62	0.0003912582402023767201744430810350650062900967895984649658203125	0.007014701306485468003393268787704073474742472171783447265625	0.00179043168298628134309236070720317002269439399242401123046875	0.039841316669320954446664728720861603505909442901611328125	-1.2505455898476394	9.811959219719773	DUSP23;PPP1CC;CYCS;PPP1CA
G-protein coupled glutamate receptor binding (GO:0035256)	1/7	0.038214735111986954108065361879198462702333927154541015625	0.12953959147113902616865743766538798809051513671875	0.061337393958156009865501090416728402487933635711669921875	0.236856705899956276883955297307693399488925933837890625	-3.0006234858707392	9.795637696379112	FYN
phosphoric ester hydrolase activity (GO:0042578)	3/57	0.003915629680702047143991961775100207887589931488037109375	0.030713220308006682068846515676341368816792964935302734375	0.011714361363567078744285510083500412292778491973876953125	0.10501088222340489164441379443815094418823719024658203125	-1.752837171222756	9.71558928128319	DUSP23;PPP1CC;PPP1CA
purine ribonucleoside binding (GO:0032550)	6/160	0.0002704885060209783094464786046273729880340397357940673828125	0.00678926150112655647783643786397078656591475009918212890625	0.00196024908352590392091041593403133447282016277313232421875	0.039841316669320954446664728720861603505909442901611328125	-1.1824994342416553	9.714565078095067	CDC42;RIT1;RHOG;RAC1;ARF6;NME1
transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001228)	7/285	0.00106617018153338095724780298922951260465197265148162841796875	0.01274327216975612575566856321529485285282135009765625	0.00814562251435391702913957345799644826911389827728271484375	0.0817820500441133191316112061031162738800048828125	-1.363282369733047	9.32987145229313	PLSCR1;FOXF2;CEBPG;LEF1;E2F2;RBPJ;HOXB7
omega peptidase activity (GO:0008242)	1/8	0.04355451225469590681438347701259772293269634246826171875	0.1383820579231477554404960983447381295263767242431640625	0.06873804351234895360089893756594392471015453338623046875	0.2368694711493651017253370127946254797279834747314453125	-2.97172609266458	9.312622780375367	APEH
calcium channel regulator activity (GO:0005246)	2/27	0.0097872480278304203882289158400453743524849414825439453125	0.051179151145529906685727183912604232318699359893798828125	0.0217141785661753849989707987333531491458415985107421875	0.1473042924354059923786053332150913774967193603515625	-1.9787441614031942	9.155006068321056	YWHAE;CALM1
protein phosphatase activator activity (GO:0072542)	1/9	0.048864908870390577622089267606497742235660552978515625	0.1406504557578418523888785784947685897350311279296875	0.07608098069344833291882679304762859828770160675048828125	0.2368694711493651017253370127946254797279834747314453125	-3.0326283799422042	9.15458240222206	CALM1
epidermal growth factor receptor binding (GO:0005154)	2/26	0.009094979489366654401560907672319444827735424041748046875	0.0496269533006745700021156153525225818157196044921875	0.0203194445947906913996217070916827651672065258026123046875	0.1458113304067641669004018467603600583970546722412109375	-1.9452539724120674	9.142757323266812	PLSCR1;GRB2
activin-activated receptor activity (GO:0017002)	1/8	0.04355451225469590681438347701259772293269634246826171875	0.1383820579231477554404960983447381295263767242431640625	0.06873804351234895360089893756594392471015453338623046875	0.2368694711493651017253370127946254797279834747314453125	-2.909232655827559	9.116784474500225	ACVR1
apolipoprotein receptor binding (GO:0034190)	1/7	0.038214735111986954108065361879198462702333927154541015625	0.12953959147113902616865743766538798809051513671875	0.061337393958156009865501090416728402487933635711669921875	0.236856705899956276883955297307693399488925933837890625	-2.761381831819969	9.014625158151992	CDC42
7SK snRNA binding (GO:0097322)	1/7	0.038214735111986954108065361879198462702333927154541015625	0.12953959147113902616865743766538798809051513671875	0.061337393958156009865501090416728402487933635711669921875	0.236856705899956276883955297307693399488925933837890625	-2.7286097204929973	8.907639483136101	CDK9
mismatch repair complex binding (GO:0032404)	1/9	0.048864908870390577622089267606497742235660552978515625	0.1406504557578418523888785784947685897350311279296875	0.07608098069344833291882679304762859828770160675048828125	0.2368694711493651017253370127946254797279834747314453125	-2.942577702393992	8.882746804611926	PCNA
GTPase activity (GO:0003924)	7/223	0.0002481347223441689154276035278456902233301661908626556396484375	0.00678926150112655647783643786397078656591475009918212890625	0.00222222483414539172252855081524103297851979732513427734375	0.039841316669320954446664728720861603505909442901611328125	-1.05814935744308	8.784267866631142	CDC42;ARL4D;GNA15;RIT1;RHOG;RAC1;ARF6
sequence-specific mRNA binding (GO:1990825)	1/9	0.048864908870390577622089267606497742235660552978515625	0.1406504557578418523888785784947685897350311279296875	0.07608098069344833291882679304762859828770160675048828125	0.2368694711493651017253370127946254797279834747314453125	-2.8691666786059002	8.661141259090924	DHFR
phosphatase activator activity (GO:0019211)	1/10	0.054146085152933169648559186271086218766868114471435546875	0.1406504557578418523888785784947685897350311279296875	0.08336665060397978332940027712538721971213817596435546875	0.2368694711493651017253370127946254797279834747314453125	-2.901450030778524	8.460830243709601	CALM1
kinase activator activity (GO:0019209)	2/25	0.00842568425792649365602127176089197746478021144866943359375	0.0496269533006745700021156153525225818157196044921875	0.01896405302736654807649330223284778185188770294189453125	0.1458113304067641669004018467603600583970546722412109375	-1.7494544854068304	8.356217895436505	RPLP1;IL2
cadherin binding (GO:0045296)	6/314	0.0081655547227057444226172577828037901781499385833740234375	0.0496269533006745700021156153525225818157196044921875	0.0404357373912628548229264424662687815725803375244140625	0.20298740170413953620709435199387371540069580078125	-1.7231744204490909	8.284730734952152	SLC9A3R2;VASP;YWHAE;SDCBP;HSPA1A;PPP1CA
phosphatidylinositol-4,5-bisphosphate 3-kinase activity (GO:0046934)	3/69	0.00668280295196712302574493236306807375513017177581787109375	0.04659398724843744066248518720385618507862091064453125	0.01908651370203029440375530612072907388210296630859375	0.1458113304067641669004018467603600583970546722412109375	-1.6499151568025938	8.263134416950773	FYN;GRB2;IRS2
neurotrophin TRKA receptor binding (GO:0005168)	1/7	0.038214735111986954108065361879198462702333927154541015625	0.12953959147113902616865743766538798809051513671875	0.061337393958156009865501090416728402487933635711669921875	0.236856705899956276883955297307693399488925933837890625	-2.467799011163035	8.056214028405785	GRB2
NADPH binding (GO:0070402)	1/11	0.059398200439566679886826960910184425301849842071533203125	0.1406504557578418523888785784947685897350311279296875	0.09059549494158984639380349790371838025748729705810546875	0.2368694711493651017253370127946254797279834747314453125	-2.8394597471324152	8.017190031017789	DHFR
tau protein binding (GO:0048156)	1/9	0.048864908870390577622089267606497742235660552978515625	0.1406504557578418523888785784947685897350311279296875	0.07608098069344833291882679304762859828770160675048828125	0.2368694711493651017253370127946254797279834747314453125	-2.570317824117299	7.759007492118226	FYN
protein tyrosine kinase binding (GO:1990782)	2/49	0.0303044221171522194790970416988784563727676868438720703125	0.11885015549070636342587903300227480940520763397216796875	0.061039954624188215437374793737035361118614673614501953125	0.236856705899956276883955297307693399488925933837890625	-2.2151559943573416	7.745207944616626	PCNA;CD247
protein kinase activator activity (GO:0030295)	3/56	0.0037244391221602224373299350190791301429271697998046875	0.030713220308006682068846515676341368816792964935302734375	0.01119142500832446575353973372557447873987257480621337890625	0.104038802855164480565264284450677223503589630126953125	-1.3755805332343098	7.693400467283951	RPLP1;IGF2;CALM1
RAGE receptor binding (GO:0050786)	1/10	0.054146085152933169648559186271086218766868114471435546875	0.1406504557578418523888785784947685897350311279296875	0.08336665060397978332940027712538721971213817596435546875	0.2368694711493651017253370127946254797279834747314453125	-2.6324352344350195	7.676364372933335	S100A4
vinculin binding (GO:0017166)	1/11	0.059398200439566679886826960910184425301849842071533203125	0.1406504557578418523888785784947685897350311279296875	0.09059549494158984639380349790371838025748729705810546875	0.2368694711493651017253370127946254797279834747314453125	-2.713891177958245	7.662648262285549	PXN
histone deacetylase binding (GO:0042826)	4/86	0.0013450801726098567633049807312772827572189271450042724609375	0.01371440635955168026172135142815022845752537250518798828125	0.005501794280737969285166588662150388699956238269805908203125	0.06277047111205592833105271211024955846369266510009765625	-1.1562605905324503	7.644387561367532	YWHAE;LEF1;HSPA1B;HSPA1A
protein heterodimerization activity (GO:0046982)	6/266	0.0036999849574000215866875773684796513407491147518157958984375	0.030713220308006682068846515676341368816792964935302734375	0.0203322572280348438933383903304275008849799633026123046875	0.1458113304067641669004018467603600583970546722412109375	-1.36344903535832	7.634532693945308	YWHAE;SDCBP;CEBPG;BCL2;IKBKG;CXCL13
cytoskeletal adaptor activity (GO:0008093)	1/10	0.054146085152933169648559186271086218766868114471435546875	0.1406504557578418523888785784947685897350311279296875	0.08336665060397978332940027712538721971213817596435546875	0.2368694711493651017253370127946254797279834747314453125	-2.5392814463290745	7.404721442894173	SDCBP
DNA binding (GO:0003677)	13/894	0.001365976729039011967892225385412530158646404743194580078125	0.01371440635955168026172135142815022845752537250518798828125	0.0249932647581460366803529637991232448257505893707275390625	0.1539254746166695830833504032852943055331707000732421875	-1.108430398709339	7.311080054263254	RNF11;PCNA;FOXF2;NFYA;CEBPG;H2AFX;LEF1;RBPJ;RNF4;CDK9;BCL2;E2F2;FOXA2
arginine N-methyltransferase activity (GO:0016273)	1/11	0.059398200439566679886826960910184425301849842071533203125	0.1406504557578418523888785784947685897350311279296875	0.09059549494158984639380349790371838025748729705810546875	0.2368694711493651017253370127946254797279834747314453125	-2.5892199936683924	7.310640252010637	PRMT1
histone-arginine N-methyltransferase activity (GO:0008469)	1/10	0.054146085152933169648559186271086218766868114471435546875	0.1406504557578418523888785784947685897350311279296875	0.08336665060397978332940027712538721971213817596435546875	0.2368694711493651017253370127946254797279834747314453125	-2.4787190830119545	7.228117376048835	PRMT1
calcium channel inhibitor activity (GO:0019855)	1/11	0.059398200439566679886826960910184425301849842071533203125	0.1406504557578418523888785784947685897350311279296875	0.09059549494158984639380349790371838025748729705810546875	0.2368694711493651017253370127946254797279834747314453125	-2.5495764905251486	7.198707163853421	CALM1
protein serine/threonine kinase activator activity (GO:0043539)	2/32	0.0135837885604473233847055979595097596757113933563232421875	0.06685354762102506398502299589381436817348003387451171875	0.0292541332393138099610130353767090127803385257720947265625	0.1707624986759945506786806390664423815906047821044921875	-1.6644161173346892	7.1551221872925685	IGF2;CALM1
eukaryotic initiation factor 4E binding (GO:0008190)	1/11	0.059398200439566679886826960910184425301849842071533203125	0.1406504557578418523888785784947685897350311279296875	0.09059549494158984639380349790371838025748729705810546875	0.2368694711493651017253370127946254797279834747314453125	-2.4918956928074523	7.035845930511238	EIF4EBP1
ATP-dependent microtubule motor activity, plus-end-directed (GO:0008574)	2/32	0.0135837885604473233847055979595097596757113933563232421875	0.06685354762102506398502299589381436817348003387451171875	0.0292541332393138099610130353767090127803385257720947265625	0.1707624986759945506786806390664423815906047821044921875	-1.6331150102082894	7.0205625397655025	DYNLL1;DYNLL2
U1 snRNA binding (GO:0030619)	1/8	0.04355451225469590681438347701259772293269634246826171875	0.1383820579231477554404960983447381295263767242431640625	0.06873804351234895360089893756594392471015453338623046875	0.2368694711493651017253370127946254797279834747314453125	-2.236234458291954	7.007781777047032	RBPMS
protein-arginine omega-N asymmetric methyltransferase activity (GO:0035242)	1/9	0.048864908870390577622089267606497742235660552978515625	0.1406504557578418523888785784947685897350311279296875	0.07608098069344833291882679304762859828770160675048828125	0.2368694711493651017253370127946254797279834747314453125	-2.2369986955392878	6.752818455246386	PRMT1
complement component C1q binding (GO:0001849)	1/10	0.054146085152933169648559186271086218766868114471435546875	0.1406504557578418523888785784947685897350311279296875	0.08336665060397978332940027712538721971213817596435546875	0.2368694711493651017253370127946254797279834747314453125	-2.275735681689335	6.636203649235265	C1QBP
activin binding (GO:0048185)	1/11	0.059398200439566679886826960910184425301849842071533203125	0.1406504557578418523888785784947685897350311279296875	0.09059549494158984639380349790371838025748729705810546875	0.2368694711493651017253370127946254797279834747314453125	-2.3343891715493723	6.591127630374799	ACVR1
C2H2 zinc finger domain binding (GO:0070742)	1/13	0.0698158810277721697534758504843921400606632232666015625	0.1514500593107128978420661269410629756748676300048828125	0.1048844568810998467700557057469268329441547393798828125	0.24375924701070428302074333259952254593372344970703125	-2.4657352052046155	6.563525189106856	LEF1
protein kinase binding (GO:0019901)	9/496	0.0017833099210648527092881732158957674982957541942596435546875	0.017215799622587617256908032459250534884631633758544921875	0.017767224953659177533182855768245644867420196533203125	0.1458113304067641669004018467603600583970546722412109375	-1.0280010306600709	6.506510614329487	CDC42;PPP1CC;RHOG;PIN1;CSK;GRB2;CD247;RAC1;CALM1
armadillo repeat domain binding (GO:0070016)	1/10	0.054146085152933169648559186271086218766868114471435546875	0.1406504557578418523888785784947685897350311279296875	0.08336665060397978332940027712538721971213817596435546875	0.2368694711493651017253370127946254797279834747314453125	-2.2291933649239732	6.500483013993092	LEF1
protein-arginine N-methyltransferase activity (GO:0016274)	1/13	0.0698158810277721697534758504843921400606632232666015625	0.1514500593107128978420661269410629756748676300048828125	0.1048844568810998467700557057469268329441547393798828125	0.24375924701070428302074333259952254593372344970703125	-2.4116992683747025	6.419687265330004	PRMT1
transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0001077)	4/176	0.0167550908128795382479037101575158885680139064788818359375	0.07757559773282422799223212450669961981475353240966796875	0.053647342365753504511705074264682480134069919586181640625	0.236856705899956276883955297307693399488925933837890625	-1.5591883075399335	6.37560384130647	PLSCR1;CEBPG;RBPJ;HOXB7
transcription regulatory region DNA binding (GO:0044212)	7/375	0.004942685925732087821871107991000826586969196796417236328125	0.037594368707841031851391022655661799944937229156494140625	0.0308906729605861844756287126756433281116187572479248046875	0.1723013091801584850681905436431406997144222259521484375	-1.1966116163139604	6.353823866182499	CDK9;RBL2;NFYA;LEF1;E2F2;WNT1;FOXA2
sequence-specific DNA binding (GO:0043565)	7/395	0.006519188466919530362819745761271406081505119800567626953125	0.04659398724843744066248518720385618507862091064453125	0.0390777633005199021010156457123230211436748504638671875	0.2010170356605988362108661249294527806341648101806640625	-1.2533089801388928	6.307910838656066	FOXF2;PRMT1;CEBPG;LEF1;BCL2;E2F2;RBPJ
RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)	7/461	0.0144210224472735258627320575897101662121713161468505859375	0.0682957855521821588506981015598285011947154998779296875	0.07570855409478428887926071411129669286310672760009765625	0.2368694711493651017253370127946254797279834747314453125	-1.4841533642021443	6.291427396654302	FOXF2;NFYA;LEF1;E2F2;RBPJ;HOXB7;FOXA2
adenylate cyclase binding (GO:0008179)	1/11	0.059398200439566679886826960910184425301849842071533203125	0.1406504557578418523888785784947685897350311279296875	0.09059549494158984639380349790371838025748729705810546875	0.2368694711493651017253370127946254797279834747314453125	-2.2255896446559036	6.283933107448149	CALM1
neurotrophin TRK receptor binding (GO:0005167)	1/9	0.048864908870390577622089267606497742235660552978515625	0.1406504557578418523888785784947685897350311279296875	0.07608098069344833291882679304762859828770160675048828125	0.2368694711493651017253370127946254797279834747314453125	-2.07611337216498	6.267154613319829	GRB2
phosphatidylinositol kinase activity (GO:0052742)	2/52	0.0338062422565687803466261129869963042438030242919921875	0.12953959147113902616865743766538798809051513671875	0.06748923342780534240237244603122235275804996490478515625	0.2368694711493651017253370127946254797279834747314453125	-1.8479857408481477	6.259330634150006	GRB2;IRS2
phosphatidylinositol 3-kinase activity (GO:0035004)	3/77	0.00903704935606465704911460790071942028589546680450439453125	0.0496269533006745700021156153525225818157196044921875	0.0251432050170655486953652513193446793593466281890869140625	0.1539254746166695830833504032852943055331707000732421875	-1.3224895182253662	6.224194499341236	FYN;GRB2;IRS2
steroid hormone receptor binding (GO:0035258)	3/77	0.00903704935606465704911460790071942028589546680450439453125	0.0496269533006745700021156153525225818157196044921875	0.0251432050170655486953652513193446793593466281890869140625	0.1539254746166695830833504032852943055331707000732421875	-1.291609651339319	6.078860797286312	TAF10;LEF1;RNF4
protein phosphatase regulator activity (GO:0019888)	2/48	0.029171422401857383110979071716428734362125396728515625	0.11885015549070636342587903300227480940520763397216796875	0.058940336380403697547070152040760149247944355010986328125	0.236856705899956276883955297307693399488925933837890625	-1.7178901123000871	6.071995525370638	CALM1;PPP1R9B
estrogen receptor binding (GO:0030331)	2/33	0.01440828704451869481106829340433250763453543186187744140625	0.0682957855521821588506981015598285011947154998779296875	0.0308707240152868468696656378824627608992159366607666015625	0.1723013091801584850681905436431406997144222259521484375	-1.4266729026767646	6.049024268567059	TAF10;LEF1
protein phosphatase 1 binding (GO:0008157)	1/12	0.06462141319356749791236183000364690087735652923583984375	0.1474543155598676824613590952139929868280887603759765625	0.09776795203834696967870598882655031047761440277099609375	0.240585842761030288539103594303014688193798065185546875	-2.1948960208381707	6.01227992102488	PPP1R9B
RNA polymerase II regulatory region DNA binding (GO:0001012)	4/202	0.0262055322676321665598120347340227453969419002532958984375	0.1114845525284012539568578858961700461804866790771484375	0.079500161006611447245262525029829703271389007568359375	0.2368694711493651017253370127946254797279834747314453125	-1.6265876928450809	5.923682230352119	RBL2;FOXF2;LEF1;E2F2
death domain binding (GO:0070513)	1/11	0.059398200439566679886826960910184425301849842071533203125	0.1406504557578418523888785784947685897350311279296875	0.09059549494158984639380349790371838025748729705810546875	0.2368694711493651017253370127946254797279834747314453125	-2.082179168941401	5.879014869954919	BCL2
phosphoprotein phosphatase activity (GO:0004721)	4/137	0.00717241073633198382430986583813137258403003215789794921875	0.048656083643765619950460887821463984437286853790283203125	0.025132876890592896479414974919563974253833293914794921875	0.1539254746166695830833504032852943055331707000732421875	-1.1253823585925984	5.556590538079113	DUSP23;PPP1CC;CYCS;PPP1CA
phosphatidylinositol bisphosphate kinase activity (GO:0052813)	3/72	0.007516438522785841812312579435229054070077836513519287109375	0.0496269533006745700021156153525225818157196044921875	0.021250104226072853708107146530892350710928440093994140625	0.1473042924354059923786053332150913774967193603515625	-1.1328222678489	5.540251785437095	FYN;GRB2;IRS2
phosphatidylinositol-4,5-bisphosphate binding (GO:0005546)	2/61	0.045186225354574484358582964205197640694677829742431640625	0.1406504557578418523888785784947685897350311279296875	0.08807350065223197577157776549938716925680637359619140625	0.2368694711493651017253370127946254797279834747314453125	-1.7742471241906317	5.494777674087166	SDCBP;PFN2
transcription coactivator binding (GO:0001223)	1/15	0.080119208152971299607969513090210966765880584716796875	0.1565990309459839580075168896655668504536151885986328125	0.1189513331914766325336785257604788057506084442138671875	0.24880653859217194412423168614623136818408966064453125	-2.153385253978384	5.435660443039719	CDK9
protein kinase A catalytic subunit binding (GO:0034236)	1/14	0.07498176071637718820284135290421545505523681640625	0.1565990309459839580075168896655668504536151885986328125	0.11194544113649125549603269291765172965824604034423828125	0.24880653859217194412423168614623136818408966064453125	-2.0869805925484477	5.40634489927051	CSK
Ral GTPase binding (GO:0017160)	1/13	0.0698158810277721697534758504843921400606632232666015625	0.1514500593107128978420661269410629756748676300048828125	0.1048844568810998467700557057469268329441547393798828125	0.24375924701070428302074333259952254593372344970703125	-2.001045370999834	5.32657021296542	LSM2
